Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AP MOELLER MAERSK - TOTAL DEBT % TOTAL CAPITAL/STD,DK0010244508(WC08221),NA,40.14,40.96,34.37,34.56,35.96,29.1,22.59,26.28,32.34,35.79,26.25,36.75,33.26
AAC CLYDE SPACE AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0009268154(WC08221),NA,NA,NA,NA,NA,NA,96.85,97.64,97.1,5.68,4.45,0.33,3.1,2.3
AAK AB (PUBL) - TOTAL DEBT % TOTAL CAPITAL/STD,SE0011337708(WC08221),NA,68.64,54.36,49.92,49.34,42.02,35.25,31.18,26.69,28.87,27.86,26.35,30.87,31.11
AALBERTS NV - TOTAL DEBT % TOTAL CAPITAL/STD,NL0000852564(WC08221),NA,56.59,50.17,44.33,41.37,35.6,31.3,37,37.27,35.15,28.81,27.63,30.67,26.64
AAREAL BANK AG - TOTAL DEBT % TOTAL CAPITAL/STD,DE0005408116(WC08221),NA,92.1,90.47,89.96,86.63,86.44,88.89,88.94,86.93,84.43,83.63,84.47,84.5,84.1
AB SCIENCE S.A - TOTAL DEBT % TOTAL CAPITAL/STD,FR0010557264(WC08221),NA,21.77,83.64,32.3,48.64,67,98.52,307.01,454.54,161.48,50.72,-121.59,-115.29,5669.52
ABC ARBITRAGE - TOTAL DEBT % TOTAL CAPITAL/STD,FR0004040608(WC08221),NA,0.4,0.27,0.22,0.23,0.04,0.09,0.07,0,0,0,0,1.58,0.74
ABENGOA S.A. - TOTAL DEBT % TOTAL CAPITAL/STD,ES0105200416(WC08221),NA,88.29,84.38,84.5,85.03,86.68,84.08,78.64,94.15,331.82,277.02,983.14,93783.91,-3336.12
ABN AMRO BANK - TOTAL DEBT % TOTAL CAPITAL/STD,NL0011540547(WC08221),NA,NA,NA,NA,NA,90.73,89.23,88.56,87.19,86.85,85.9,85.43,84.79,86.84
ABSOLENT AIR CA - TOTAL DEBT % TOTAL CAPITAL/STD,SE0006256558(WC08221),NA,NA,NA,NA,27.69,55.14,49.08,8.44,0.61,0.21,0.13,0.06,41.55,62.85
ACADE - TOTAL DEBT % TOTAL CAPITAL/STD,SE0007897079(WC08221),NA,NA,NA,NA,51.49,57.95,56.61,56.73,56.84,47.27,44.03,40.3,37.63,66.44
ACCELL GROUP NV - TOTAL DEBT % TOTAL CAPITAL/STD,NL0009767532(WC08221),NA,42.99,36.08,36.08,35.84,37.78,45.38,37.54,41.18,38.11,38.22,35.63,46.13,40.19
ACCIONA SA - TOTAL DEBT % TOTAL CAPITAL/STD,ES0125220311(WC08221),NA,76.27,58.32,57.56,61.16,61.76,70.62,65.5,64.37,62.86,63.59,64.6,68.01,65.6
ACCOR SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0000120404(WC08221),NA,40,46.67,33.48,31.3,44.24,44.75,55.74,54.69,42.96,43.92,46.92,44.89,60.43
ACEA SPA - TOTAL DEBT % TOTAL CAPITAL/STD,IT0001207098(WC08221),NA,59.12,67.25,64.86,66.9,68.35,69.52,68.26,64.87,62.65,65.1,66.52,66.73,66.32
ACERINOX S.A. - TOTAL DEBT % TOTAL CAPITAL/STD,ES0132105018(WC08221),NA,33.48,39.5,38.27,35.78,40.46,42.73,42.18,37.05,35.97,38.43,39.82,41.56,51.13
ACKERMANS & VAN HAAR - TOTAL DEBT % TOTAL CAPITAL/STD,BE0003764785(WC08221),NA,20.82,18.74,18.83,18.3,20.39,63.42,61.75,60.94,62.06,61.61,62.4,63.82,65.41
ACROUD AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0001863291(WC08221),NA,0,0,0,0,0,NA,NA,NA,98.68,86.56,62.95,53.21,37.45
ACS ACTIVIDADES - TOTAL DEBT % TOTAL CAPITAL/STD,ES0167050915(WC08221),NA,57.92,75.19,75.57,72.52,67.13,67.42,71.62,67.46,63.59,60.91,58.26,65.61,73.58
ADDLIFE AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0014401378(WC08221),NA,NA,NA,NA,NA,NA,8.94,10.57,9.64,30.91,41.59,47.58,37.78,29.89
ADDTECH AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0014781795(WC08221),NA,27.47,20.97,4.12,19.41,27.67,34.41,30.57,27.81,33.48,35.99,39.11,44.2,45.96
ADEVINTA - TOTAL DEBT % TOTAL CAPITAL/STD,NO0010844038(WC08221),NA,NA,NA,NA,NA,NA,NA,NA,NA,23.97,30.83,25.19,14.86,57.62
