Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A P MOLLER MAERSK B - Environment Pillar Score,DK0010244508(ENSCORE),NA,40.93,71.52,74.44,79.5,80.75,79.04,70.36,72.67,70.49,74.09,72.92,76.04,74.14
A P MOLLER MAERSK B - Social Pillar Score,DK0010244508(SOSCORE),NA,35.58,54.02,53.32,63.6,64.48,51.42,50.89,68.36,61.25,62.43,54.61,56.15,55.85
A P MOLLER MAERSK B - Governance Pillar Score,DK0010244508(CGSCORE),NA,65.63,63.71,46.39,30.86,28.63,30.1,31.26,37.79,34.83,30.86,51.13,65.44,69.11
AAC CLYDE SPACE - Environment Pillar Score,SE0009268154(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.29
AAC CLYDE SPACE - Social Pillar Score,SE0009268154(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63
AAC CLYDE SPACE - Governance Pillar Score,SE0009268154(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.51
AAK - Environment Pillar Score,SE0011337708(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.26,62.9,64.9
AAK - Social Pillar Score,SE0011337708(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.52,57.16,56.34
AAK - Governance Pillar Score,SE0011337708(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.55,54.99,64.45
AALBERTS - Environment Pillar Score,NL0000852564(ENSCORE),NA,NA,NA,2.4,0.28,1.83,2.46,3.86,12.14,20.89,55.41,56.44,60.94,63.54
AALBERTS - Social Pillar Score,NL0000852564(SOSCORE),NA,NA,NA,14.48,11.39,15.53,16.23,18.89,28.85,30.59,76.04,77.17,79.96,79.23
AALBERTS - Governance Pillar Score,NL0000852564(CGSCORE),NA,NA,NA,3.41,11.04,16.88,17.01,13.81,10,23.82,23.6,37.64,42.64,47.74
AAREAL BANK - Environment Pillar Score,DE0005408116(ENSCORE),NA,19.28,17.89,20.72,19.82,55.24,55.77,63.5,64.38,71.7,35.14,34.27,33.22,35.02
AAREAL BANK - Social Pillar Score,DE0005408116(SOSCORE),NA,50.13,52.25,45.21,41.59,61.79,54.72,67.68,66.76,72.52,78.03,73.04,76.54,74.57
AAREAL BANK - Governance Pillar Score,DE0005408116(CGSCORE),NA,31.86,69.13,53.88,50.63,53.06,65.3,57.47,60.9,69.19,77.39,80,82.34,86.32
AB SCIENCE - Environment Pillar Score,FR0010557264(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.68
AB SCIENCE - Social Pillar Score,FR0010557264(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27,11.9
AB SCIENCE - Governance Pillar Score,FR0010557264(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.02,23.63
ABC ARBITRAGE - Environment Pillar Score,FR0004040608(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.48,9.66,9.47
ABC ARBITRAGE - Social Pillar Score,FR0004040608(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.67,29.61,31.54
ABC ARBITRAGE - Governance Pillar Score,FR0004040608(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.72,24.33,22.05
ABENGOA - Environment Pillar Score,ES0105200416(ENSCORE),NA,80.87,73.61,72.73,73.06,75.64,77.47,81.4,82.43,77.57,78.1,80.79,78.55,NA
ABENGOA - Social Pillar Score,ES0105200416(SOSCORE),NA,76.32,84.47,87.81,82.34,84.95,91.6,94.93,92.34,81.07,72.53,81.92,79.9,NA
ABENGOA - Governance Pillar Score,ES0105200416(CGSCORE),NA,24.37,29.88,27.24,21.91,29.7,30.33,26.98,18.98,21.88,65.29,57.05,48.39,NA
ABN AMRO BANK - Environment Pillar Score,NL0011540547(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,84.96,86.29,80.18,88.01,89.27,90.11
ABN AMRO BANK - Social Pillar Score,NL0011540547(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,77.66,72.54,73.29,65.18,66.23,65.62
ABN AMRO BANK - Governance Pillar Score,NL0011540547(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,45.25,50.59,63.97,72.06,54.33,70.84
ABSOLENT AIR CARE GROUP - Environment Pillar Score,SE0006256558(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.28,NA
ABSOLENT AIR CARE GROUP - Social Pillar Score,SE0006256558(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.08,NA
ABSOLENT AIR CARE GROUP - Governance Pillar Score,SE0006256558(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.31,NA
ACADEMEDIA - Environment Pillar Score,SE0007897079(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.39,27.71
ACADEMEDIA - Social Pillar Score,SE0007897079(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.19,54.03
ACADEMEDIA - Governance Pillar Score,SE0007897079(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.73,43.94
ACCELL GROUP - Environment Pillar Score,NL0009767532(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.83,46.88,45.75
ACCELL GROUP - Social Pillar Score,NL0009767532(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.65,63.66,63.38
ACCELL GROUP - Governance Pillar Score,NL0009767532(CGSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.99,60.09,61.63
ACCIONA - Environment Pillar Score,ES0125220311(ENSCORE),NA,84.13,84.72,84.03,88.59,88.73,81.77,83.27,85.24,83.33,89.04,92.51,92.05,90.47
ACCIONA - Social Pillar Score,ES0125220311(SOSCORE),NA,85.77,88.83,92.46,92.92,88.15,85.5,87.59,86.33,92.85,92.52,95.24,98.08,95.87
ACCIONA - Governance Pillar Score,ES0125220311(CGSCORE),NA,62.34,65.47,66.53,65.57,51.19,56.71,56.28,53.94,65.42,65.42,80.32,72.46,76.58
ACCOR - Environment Pillar Score,FR0000120404(ENSCORE),NA,80.95,80.62,83.14,87.2,88,83.48,91.12,90.16,87.39,79.75,74.7,76.21,79.41
ACCOR - Social Pillar Score,FR0000120404(SOSCORE),NA,46.88,54.92,58.79,63.19,58.36,57.65,66.24,87.62,87.23,88.51,85.69,90.58,89.27
ACCOR - Governance Pillar Score,FR0000120404(CGSCORE),NA,52.9,22.95,45.2,63.23,52.65,71.97,52.04,42.3,42.3,67.25,68.62,74.56,76.19
ACEA - Environment Pillar Score,IT0001207098(ENSCORE),NA,36.48,38.77,74.55,74.07,71.44,70.49,81.12,85.69,81.67,92.26,89.71,85.72,70.82
ACEA - Social Pillar Score,IT0001207098(SOSCORE),NA,55.1,60.39,62.56,55.79,70.51,68.98,67.19,69.57,66.48,71.15,60.28,58.97,54.13
ACEA - Governance Pillar Score,IT0001207098(CGSCORE),NA,83.85,72.61,85.14,70.1,64.44,32.52,40.62,53.57,37.13,49.21,66.01,73.08,63.59
ACERINOX 'R' - Environment Pillar Score,ES0132105018(ENSCORE),NA,38.2,37.95,40.51,48.42,48.33,43.12,38.47,35.43,47.37,56.97,67.38,66.88,88.29
ACERINOX 'R' - Social Pillar Score,ES0132105018(SOSCORE),NA,24.91,31.51,32.68,55.71,67.57,62.17,46.67,45.95,69.37,65.22,74.41,76.41,77.77
ACERINOX 'R' - Governance Pillar Score,ES0132105018(CGSCORE),NA,20.78,27.85,22.36,18.59,25.16,16.73,21.85,28.99,31.92,35.57,42.93,47.18,44.51
ACKERMANS & VAN HAAREN - Environment Pillar Score,BE0003764785(ENSCORE),NA,0,0,5.84,4.83,5.98,5.44,13.83,20.38,40.25,50.01,49.42,53.48,50.49
ACKERMANS & VAN HAAREN - Social Pillar Score,BE0003764785(SOSCORE),NA,4.01,4.15,4.39,5.28,11.76,6.09,13.97,13.3,11.1,19.59,9.31,18.23,20.7
ACKERMANS & VAN HAAREN - Governance Pillar Score,BE0003764785(CGSCORE),NA,37.56,50.25,52.5,51.67,55.43,43.09,63.93,68.69,73.45,55.4,62.88,52.17,32.13
ACROUD - Environment Pillar Score,SE0001863291(ENSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.85
ACROUD - Social Pillar Score,SE0001863291(SOSCORE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.57
