Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AP MOELLER MAERSK - OPTG INC BEFORE DEP & AMORT,DK0010244508(WC18155),DK,80389000,49146000,89497000,77198000,70670000,62896000,66649689,59502194,43967881,21757860,20699686,33843152,51153126
AP MOELLER MAERSK - NET SALES OR REVENUES,DK0010244508(WC01001),DK,311821000,260026000,315396000,322520000,342058000,266236000,268523675,272609050,239152903,202069922,246846290,259751366,258169320
AAC CLYDE SPACE AB - OPTG INC BEFORE DEP & AMORT,SE0009268154(WC18155),SK,NA,NA,NA,NA,NA,-697,-17099,-17276,-17219,-21628,-38283,-33462,-24194
AAC CLYDE SPACE AB - NET SALES OR REVENUES,SE0009268154(WC01001),SK,NA,NA,NA,NA,NA,34607,15233,24077,22826,13282,77888,66435,98384
AAK AB (PUBL) - OPTG INC BEFORE DEP & AMORT,SE0011337708(WC18155),SK,151000,1780000,1212000,1203000,1214000,1288000,1427000,1689000,1985000,2148000,2328000,2636000,2557000
AAK AB (PUBL) - NET SALES OR REVENUES,SE0011337708(WC01001),SK,17207000,15884000,14808000,16695000,16911000,16537000,17814000,20114000,22057000,26436000,27592000,28510000,27934000
AALBERTS NV - OPTG INC BEFORE DEP & AMORT,NL0000852564(WC18155),E,245089,160819,222729,271202,283300,289454,310569,351600,368000,415800,420800,455700,364800
AALBERTS NV - NET SALES OR REVENUES,NL0000852564(WC01001),E,1750752,1404933,1682781,1937419,2024481,2040040,2200791,2475300,2522100,2694000,2758900,2841300,2610400
AAREAL BANK AG - OPTG INC BEFORE DEP & AMORT,DE0005408116(WC18155),E,132000,110000,171000,205000,198000,200000,269000,292000,321000,320000,254000,262000,-30000
AAREAL BANK AG - NET SALES OR REVENUES,DE0005408116(WC01001),E,2193000,1399000,1121000,1340000,1187000,1031000,1198000,1195000,1090000,989000,1161000,1277000,1033000
AB SCIENCE S.A - OPTG INC BEFORE DEP & AMORT,FR0010557264(WC18155),E,NA,NA,-9603,-9370,-10208,-13051,-14765,-25572,-29596,-27968,-28275,-16400,-13660
AB SCIENCE S.A - NET SALES OR REVENUES,FR0010557264(WC01001),E,1,316,917,1104,1340,1933,2099,2284,1508,1739,1701,1571,1583
ABC ARBITRAGE - OPTG INC BEFORE DEP & AMORT,FR0004040608(WC18155),E,64938,44611,41606,50695,36966,15098,28575,27023,30983,18568,20232,19552,37059
ABC ARBITRAGE - NET SALES OR REVENUES,FR0004040608(WC01001),E,88234,63556,60111,74020,53507,91,129,13820,17716,16275,17099,14725,23085
ABENGOA S.A. - OPTG INC BEFORE DEP & AMORT,ES0105200416(WC18155),E,-572180,446981,693677,886536,1120788,1240407,1295780,171542,-2113451,-15496,110878,10170,140377
