Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AP MOELLER MAERSK - TOTAL ASSETS,DK0010244508(WC02999),DK,338643000,339657000,369589000,399808000,416918000,400707000,420434374,422739287,426673978,390450254,367009540,367550474,340409311
"AP MOELLER MAERSK - PROPERTY, PLANT & EQUIP - NET",DK0010244508(WC02501),DK,226798000,237574000,243666000,254828000,261369000,223507000,274949112,302357168,292513603,192795866,197115681,239712045,212064252
AAC CLYDE SPACE AB - TOTAL ASSETS,SE0009268154(WC02999),SK,NA,NA,NA,NA,NA,27963,29398,39977,102093,59838,452963,545386,636250
"AAC CLYDE SPACE AB - PROPERTY, PLANT & EQUIP - NET",SE0009268154(WC02501),SK,NA,NA,NA,NA,NA,1787,1864,1871,645,417,4208,18262,28715
AAK AB (PUBL) - TOTAL ASSETS,SE0011337708(WC02999),SK,10884000,8399000,9145000,9855000,9645000,9898000,12381000,13799000,16983000,16819000,17974000,22775000,22091000
"AAK AB (PUBL) - PROPERTY, PLANT & EQUIP - NET",SE0011337708(WC02501),SK,3189000,2978000,2718000,2801000,2800000,3027000,3812000,4295000,5164000,5178000,5468000,6804000,6310000
AALBERTS NV - TOTAL ASSETS,NL0000852564(WC02999),E,1677946,1558164,1756831,1914688,1941030,1975983,2424601,2727700,2845200,2895700,3132800,3450900,3234000
"AALBERTS NV - PROPERTY, PLANT & EQUIP - NET",NL0000852564(WC02501),E,516265,493586,530380,565338,592393,616158,720291,736400,761500,774900,818200,1048000,986200
AAREAL BANK AG - TOTAL ASSETS,DE0005408116(WC02999),E,41024000,39448000,41148000,41725000,45654000,42871000,49317000,51709000,47574000,41809000,42546000,40969000,45302000
"AAREAL BANK AG - PROPERTY, PLANT & EQUIP - NET",DE0005408116(WC02501),E,96000,99000,95000,104000,427000,98000,96000,267000,252000,253000,260000,311000,289000
AB SCIENCE S.A - TOTAL ASSETS,FR0010557264(WC02999),E,16281,14086,29398,29462,29982,43633,31276,32578,38010,50600,22491,17740,29688
"AB SCIENCE S.A - PROPERTY, PLANT & EQUIP - NET",FR0010557264(WC02501),E,174,151,156,151,106,189,241,240,214,171,153,2172,1825
ABC ARBITRAGE - TOTAL ASSETS,FR0004040608(WC02999),E,425088,449218,657625,1034777,1179950,987442,631725,152230,164646,153265,151594,146187,172944
"ABC ARBITRAGE - PROPERTY, PLANT & EQUIP - NET",FR0004040608(WC02501),E,699,2678,3143,2797,2270,1905,1741,1453,1434,1268,973,2872,2324
ABENGOA S.A. - TOTAL ASSETS,ES0105200416(WC02999),E,9385313,11697772,16088160,17801762,19357140,19871753,23742986,15042448,9298728,5982783,3693070,3236137,2600528
"ABENGOA S.A. - PROPERTY, PLANT & EQUIP - NET",ES0105200416(WC02501),E,2399132,4024401,4269871,3388191,3380787,2614619,2533489,2102446,271055,177449,144762,152190,144468
ABN AMRO BANK - TOTAL ASSETS,NL0011540547(WC02999),E,NA,NA,NA,NA,392517000,371277000,386393000,390008000,394174000,392812000,380951000,374464000,394948000
"ABN AMRO BANK - PROPERTY, PLANT & EQUIP - NET",NL0011540547(WC02501),E,NA,NA,NA,NA,1519000,1426000,1412000,1366000,1418000,1458000,1506000,1706000,1255000
ABSOLENT AIR CA - TOTAL ASSETS,SE0006256558(WC02999),SK,NA,NA,NA,151975,139497,144202,166618,228071,283014,377442,481643,1024955,1124245
"ABSOLENT AIR CA - PROPERTY, PLANT & EQUIP - NET",SE0006256558(WC02501),SK,NA,NA,NA,17268,17564,22528,33725,65187,54316,55968,63562,128043,107499
ACADE - TOTAL ASSETS,SE0007897079(WC02999),SK,NA,NA,NA,3580659,4827161,4973373,7119722,7154000,7154000,7842000,9356000,9664000,16498000
"ACADE - PROPERTY, PLANT & EQUIP - NET",SE0007897079(WC02501),SK,NA,NA,NA,165605,268350,297803,927022,842000,1031000,1277000,1598000,1916000,9060000
ACCELL GROUP NV - TOTAL ASSETS,NL0009767532(WC02999),E,330013,331128,378071,429302,590674,568299,615235,729725,734671,701841,759218,833306,841125
"ACCELL GROUP NV - PROPERTY, PLANT & EQUIP - NET",NL0009767532(WC02501),E,61329,61219,59600,64110,76981,65797,68071,69771,71672,69373,66512,94222,94210
