Name,Code,25/05/2008,25/05/2009,25/05/2010,25/05/2011,25/05/2012,25/05/2013,25/05/2014,25/05/2015,25/05/2016,25/05/2017,25/05/2018,25/05/2019,25/05/2020
STRABAG SE - COST OF GOODS SOLD (EXCL DEP),AT000000STR1(WC01051),8376563,8344762,8102134,9140145,8555381,8136837,8137568,8696205,7965081,8879834,10146575,10062352,9280889
FACC AG - COST OF GOODS SOLD (EXCL DEP),AT00000FACC2(WC01051),NA,NA,136789,134655,190944,246841,307387,308676,350686,434046,441107,700175,493025
FLUGHAFEN WIEN - COST OF GOODS SOLD (EXCL DEP),AT00000VIE62(WC01051),32525,29004,32903,27187,32080,33294,27014,25703,29009,31806,36640,33614,25840
#ERROR,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
PORR - COST OF GOODS SOLD (EXCL DEP),AT0000609607(WC01051),2409615,2241530,2009594,2050179,1445269,1742357,2017529,2056985,2250683,2938193,3457449,3282569,3113731
CA IM.ANLAGEN - COST OF GOODS SOLD (EXCL DEP),AT0000641352(WC01051),55623,69930,75816,131289,135632,105287,46088,52406,59557,60891,69409,66283,-65582
LENZING - COST OF GOODS SOLD (EXCL DEP),AT0000644505(WC01051),999816,957617,1235565,1480348,1237215,1181455,1167171,1196164,1195526,1195121,1205236,1182587,879182
#ERROR,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
S IMMO - COST OF GOODS SOLD (EXCL DEP),AT0000652250(WC01051),89082,243363,190822,142004,222975,90350,87494,89005,96189,96109,91433,103202,84886
TELEKOM AUSTRIA - COST OF GOODS SOLD (EXCL DEP),AT0000720008(WC01051),360963,324351,1127658,1165796,1252563,508947,457275,471676,1868423,1978441,2023566,1956328,1964331
ANDRITZ - COST OF GOODS SOLD (EXCL DEP),AT0000730007(WC01051),2904114,2608872,2863510,3744715,3046902,3230215,3151889,3384996,3107636,2990244,2989274,3333403,3658822
EVN - COST OF GOODS SOLD (EXCL DEP),AT0000741053(WC01051),1644882,1927982,1899682,1828600,1965300,1892200,804800,1302200,1156400,1281900,1265700,1401100,1212600
OMV - COST OF GOODS SOLD (EXCL DEP),AT0000743059(WC01051),19894273,13776885,18119085,28345701,35862994,36438154,30304000,18059000,14657000,14063000,15855000,15291000,10391000
VERBUND - COST OF GOODS SOLD (EXCL DEP),AT0000746409(WC01051),1963500,1761000,2087100,2717600,1393000,1412780,1392541,1528253,1363898,1513020,1455904,2168005,1353618
PALFINGER - COST OF GOODS SOLD (EXCL DEP),AT0000758305(WC01051),598057,418311,515664,641454,735695,715441,782961,890124,976179,1056815,1159626,1255300,1109691
SEMPERIT - COST OF GOODS SOLD (EXCL DEP),AT0000785555(WC01051),484827,405655,509310,625232,628793,653091,677398,707577,664080,708913,691205,674867,631554
#ERROR,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
WIENERBERGER - COST OF GOODS SOLD (EXCL DEP),AT0000831706(WC01051),1414497,1249901,1079545,1213672,1466947,1733614,1822165,1883806,1886444,1926466,2021143,2051205,2120272
ZUMTOBEL - COST OF GOODS SOLD (EXCL DEP),AT0000837307(WC01051),761069,672552,659529,728646,780801,740226,796628,826373,876716,741936,716617,710173,666269
#ERROR,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
VOESTALPINE - COST OF GOODS SOLD (EXCL DEP),AT0000937503(WC01051),7412900,8575400,6354200,7998700,9100400,8628957,8347979,8270613,8043500,8136300,9235400,10075200,9864300
MAY - COST OF GOODS SOLD (EXCL DEP),AT0000938204(WC01051),1281026,1170536,1315417,1467148,1451294,1473213,1524948,1585670,1645931,1704017,1682781,1783195,1746398
SCHOELLE - COST OF GOODS SOLD (EXCL DEP),AT0000946652(WC01051),243549,163792,189968,244799,302744,274560,245366,201245,128498,180206,227721,264785,184710
AT&S AU.TCHG.& SYSTK. - COST OF GOODS SOLD (EXCL DEP),AT0000969985(WC01051),352804,330740,263708,320514,336570,393766,403222,440109,523841,577560,632899,652290,656687
PETRO WELT TECHS. - COST OF GOODS SOLD (EXCL DEP),AT0000A00Y78(WC01051),202477,166837,158242,205082,229605,291288,273648,217924,206353,243777,195746,222412,184595
IMMOFINANZ - COST OF GOODS SOLD (EXCL DEP),AT0000A21KS2(WC01051),253636,304548,305685,413479,650380,431759,280859,291229,246866,252545,149827,153196,140314
OSTERREICHISCHE POST - COST OF GOODS SOLD (EXCL DEP),AT0000APOST4(WC01051),1894200,1902900,770000,758900,752000,750100,742600,748200,491800,406400,436600,465500,588800
#ERROR,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
PIERER MOBILITY - COST OF GOODS SOLD (EXCL DEP),AT0000KTMI02(WC01051),78794,65762,53789,53896,57967,68721,5286,799721,853030,1004064,960980,1003914,1024483
AGRANA BETEILIGUNGS - COST OF GOODS SOLD (EXCL DEP),AT000AGRANA3(WC01051),1411804,1648222,1554712,1697733,1965036,2158767,2174197,1778438,1757017,1776305,1741897,1699876,1692615
KAPSCH TRAFFICCOM - COST OF GOODS SOLD (EXCL DEP),AT000KAPSCH9(WC01051),118949,127978,152593,270256,416532,324926,315271,272308,310004,375955,411509,441619,479559
FREQUENTIS - COST OF GOODS SOLD (EXCL DEP),ATFREQUENT09(WC01051),NA,NA,NA,NA,NA,53533,60401,63111,71993,83199,84751,82527,77072
IGO - COST OF GOODS SOLD (EXCL DEP),AU000000IGO4(WC01051),52754,48254,53632,73141,130074,124356,119518,176852,172915,181897,312326,350903,358124
SOLVAY - COST OF GOODS SOLD (EXCL DEP),BE0003470755(WC01051),5910000,4253000,4790000,6114000,9444000,7262000,7429000,7716000,7701000,7253000,7715000,7602000,6555000
#ERROR,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
COFINIMMO - COST OF GOODS SOLD (EXCL DEP),BE0003593044(WC01051),78868,81451,77906,85345,82569,61197,56450,55234,55973,61273,59814,59775,42895
RECTICEL - COST OF GOODS SOLD (EXCL DEP),BE0003656676(WC01051),1204969,936796,1022816,1061173,1067135,778678,783838,810665,815399,920886,884395,791210,625554
BEFIMMO - COST OF GOODS SOLD (EXCL DEP),BE0003678894(WC01051),43599,37821,40711,38218,42681,7471,7572,10098,50894,47833,48382,47509,51962
GIMV - COST OF GOODS SOLD (EXCL DEP),BE0003699130(WC01051),NA,NA,NA,NA,NA,NA,14534,13479,14176,15322,15098,15803,17734
RETAIL ESTATES - COST OF GOODS SOLD (EXCL DEP),BE0003720340(WC01051),3333,3101,5575,5681,5220,6954,8648,9313,10677,11854,14061,18903,21817
ORANGE BELGIUM - COST OF GOODS SOLD (EXCL DEP),BE0003735496(WC01051),576994,631737,720490,808781,705838,649507,606789,598121,585696,623451,643575,622599,609323
UCB - COST OF GOODS SOLD (EXCL DEP),BE0003739530(WC01051),966000,805000,798000,767000,854000,880000,834000,906000,970000,522000,910000,955000,1009000
INTERVEST OFFICES & - COST OF GOODS SOLD (EXCL DEP),BE0003746600(WC01051),10278,9890,14784,14196,17192,2763,3194,133,1933,2371,2160,2141,3003
AGF - COST OF GOODS SOLD (EXCL DEP),BE0003755692(WC01051),1951000,1767000,1855000,2092000,2135000,1951000,1743000,1744000,1623000,1576000,1479000,1416000,1146000
GREENYARD - COST OF GOODS SOLD (EXCL DEP),BE0003765790(WC01051),402281,360541,442328,NA,639534,336030,347227,352906,2928901,3897937,3830591,3661282,3750764
ION BEAM APPLICATIONS - COST OF GOODS SOLD (EXCL DEP),BE0003766806(WC01051),204282,205096,228145,91928,132317,120772,120828,152775,185542,186402,132545,178005,163941
GBL NEW - COST OF GOODS SOLD (EXCL DEP),BE0003797140(WC01051),NA,NA,NA,1619000,2039200,1429300,1371400,1516200,1533800,1632200,1830200,1863300,1683000
EXMAR - COST OF GOODS SOLD (EXCL DEP),BE0003808251(WC01051),250772,207561,216324,256260,264620,225342,107834,120091,102828,117833,105036,113879,83919
PROXIMUS - COST OF GOODS SOLD (EXCL DEP),BE0003810273(WC01051),2029000,2176000,2755000,2656000,2610000,2561000,2420000,2377000,2242000,2166000,2126000,2017000,1900000
EURONAV - COST OF GOODS SOLD (EXCL DEP),BE0003816338(WC01051),177755,163449,193459,177274,191502,169447,183573,203958,199106,186512,277705,318921,292930
ELIA GROUP - COST OF GOODS SOLD (EXCL DEP),BE0003822393(WC01051),407500,433500,597000,802700,830200,846000,480800,481000,480400,476000,1162900,1306700,1373600
TELENET GROUP HOLDING - COST OF GOODS SOLD (EXCL DEP),BE0003826436(WC01051),327679,379517,421993,439925,473829,548973,575411,591751,841120,878445,742528,675900,688800
