"ISIN","year","cogs","curr_rat","stlt_lia"
"AT000000STR1","2008",8376563,1.25,274041
"AT000000STR1","2009",8344762,1.26,234515
"AT000000STR1","2010",8102134,1.26,240847
"AT000000STR1","2011",9140145,1.2,433304
"AT000000STR1","2012",8555381,1.23,384002
"AT000000STR1","2013",8136837,1.27,368830
"AT000000STR1","2014",8137568,1.22,433198
"AT000000STR1","2015",8696205,1.32,285994
"AT000000STR1","2016",7965081,1.33,202549
"AT000000STR1","2017",8879834,1.26,411098
"AT000000STR1","2018",10146575,1.22,275709
"AT000000STR1","2019",10062352,1.16,355509
"AT000000STR1","2020",9280889,1.24,163896
"AT00000FACC2","2008",NA,NA,NA
"AT00000FACC2","2009",NA,NA,NA
"AT00000FACC2","2010",136789,2,6632
"AT00000FACC2","2011",134655,1.95,24321
"AT00000FACC2","2012",190944,1.37,55973
"AT00000FACC2","2013",246841,1.58,49921
"AT00000FACC2","2014",307387,2.7,10817
"AT00000FACC2","2015",308676,1.82,58173
"AT00000FACC2","2016",350686,2.02,21634
"AT00000FACC2","2017",434046,1.85,54295
"AT00000FACC2","2018",441107,2.08,65762
"AT00000FACC2","2019",700175,1.52,120532
"AT00000FACC2","2020",493025,1.42,164230
"AT00000VIE62","2008",32525,0.51,120132
"AT00000VIE62","2009",29004,0.43,90672
"AT00000VIE62","2010",32903,0.89,204
"AT00000VIE62","2011",27187,0.69,71986
"AT00000VIE62","2012",32080,0.4,151007
"AT00000VIE62","2013",33294,0.32,90658
"AT00000VIE62","2014",27014,0.33,29128
"AT00000VIE62","2015",25703,0.52,109254
"AT00000VIE62","2016",29009,0.82,63917
"AT00000VIE62","2017",31806,0.77,46963
"AT00000VIE62","2018",36640,0.64,57017
"AT00000VIE62","2019",33614,0.87,25444
"AT00000VIE62","2020",25840,0.87,142398
"AT0000609607","2008",2409615,1.18,77679
"AT0000609607","2009",2241530,1.08,173827
"AT0000609607","2010",2009594,1.05,146820
"AT0000609607","2011",2050179,0.94,157538
"AT0000609607","2012",1445269,0.84,229620
"AT0000609607","2013",1742357,0.96,151472
"AT0000609607","2014",2017529,1.05,120232
"AT0000609607","2015",2056985,1.18,93822
"AT0000609607","2016",2250683,1.15,42286
"AT0000609607","2017",2938193,1.09,122873
"AT0000609607","2018",3457449,1.05,104128
"AT0000609607","2019",3282569,1.1,137539
"AT0000609607","2020",3113731,1.09,136021
"AT0000641352","2008",55623,NA,86044
"AT0000641352","2009",69930,NA,118772
"AT0000641352","2010",75816,NA,236910
"AT0000641352","2011",131289,NA,777089
"AT0000641352","2012",135632,NA,924676
"AT0000641352","2013",105287,NA,872045
"AT0000641352","2014",46088,NA,202530
"AT0000641352","2015",52406,NA,545214
"AT0000641352","2016",59557,NA,153004
"AT0000641352","2017",60891,NA,68920
"AT0000641352","2018",69409,NA,219645
"AT0000641352","2019",66283,NA,246478
"AT0000641352","2020",-65582,NA,205301
"AT0000644505","2008",999816,1.5,135355
"AT0000644505","2009",957617,1.67,40723
"AT0000644505","2010",1235565,1.64,60474
"AT0000644505","2011",1480348,1.74,134360
"AT0000644505","2012",1237215,2.04,174661
"AT0000644505","2013",1181455,1.7,191075
"AT0000644505","2014",1167171,1.62,192745
"AT0000644505","2015",1196164,2.07,172337
"AT0000644505","2016",1195526,1.81,249247
"AT0000644505","2017",1195121,2.05,127270
"AT0000644505","2018",1205236,1.75,166197
"AT0000644505","2019",1182587,2.48,129606
"AT0000644505","2020",879182,3.67,105616
"AT0000652250","2008",89082,NA,260457
"AT0000652250","2009",243363,NA,303390
"AT0000652250","2010",190822,NA,124123
"AT0000652250","2011",142004,NA,208888
"AT0000652250","2012",222975,NA,180352
"AT0000652250","2013",90350,NA,285551
"AT0000652250","2014",87494,NA,122992
"AT0000652250","2015",89005,NA,132482
"AT0000652250","2016",96189,NA,184096
"AT0000652250","2017",96109,NA,170115
"AT0000652250","2018",91433,NA,193141
"AT0000652250","2019",103202,NA,145221
"AT0000652250","2020",84886,NA,127802
"AT0000720008","2008",360963,0.7,911182
"AT0000720008","2009",324351,0.76,856014
"AT0000720008","2010",1127658,0.76,506653
"AT0000720008","2011",1165796,0.73,1014185
"AT0000720008","2012",1252563,0.78,1049424
"AT0000720008","2013",508947,0.85,136564
"AT0000720008","2014",457275,1.33,247354
"AT0000720008","2015",471676,0.85,810440
"AT0000720008","2016",1868423,0.78,500065
"AT0000720008","2017",1978441,0.99,566
"AT0000720008","2018",2023566,0.82,245257
"AT0000720008","2019",1956328,0.87,900616
"AT0000720008","2020",1964331,0.74,903435
"AT0000730007","2008",2904114,1.3,36857
"AT0000730007","2009",2608872,1.32,31476
"AT0000730007","2010",2863510,1.24,40417
"AT0000730007","2011",3744715,1.18,59470
"AT0000730007","2012",3046902,1.16,239815
"AT0000730007","2013",3230215,1.09,63966
"AT0000730007","2014",3151889,1.06,227548
"AT0000730007","2015",3384996,1.2,28501
"AT0000730007","2016",3107636,1.21,80306
"AT0000730007","2017",2990244,1.31,82028
"AT0000730007","2018",2989274,1.12,464856
"AT0000730007","2019",3333403,1.2,178831
"AT0000730007","2020",3658822,1.26,143470
"AT0000741053","2008",1644882,1.2,153904
"AT0000741053","2009",1927982,1.45,16992
"AT0000741053","2010",1899682,1.18,205247
"AT0000741053","2011",1828600,0.8,311600
"AT0000741053","2012",1965300,1.03,49400
"AT0000741053","2013",1892200,0.81,390300
"AT0000741053","2014",804800,0.64,194200
"AT0000741053","2015",1302200,0.75,140100
"AT0000741053","2016",1156400,0.7,239100
"AT0000741053","2017",1281900,0.8,50500
"AT0000741053","2018",1265700,0.89,89100
"AT0000741053","2019",1401100,0.95,68800
"AT0000741053","2020",1212600,0.92,115200
"AT0000743059","2008",19894273,1.01,1606509
"AT0000743059","2009",13776885,1.19,704079
"AT0000743059","2010",18119085,1.21,1009947
"AT0000743059","2011",28345701,1.21,605593
"AT0000743059","2012",35862994,1.3,414337
"AT0000743059","2013",36438154,0.92,1008411
"AT0000743059","2014",30304000,0.94,612000
"AT0000743059","2015",18059000,1.06,507000
"AT0000743059","2016",14657000,1.14,276000
"AT0000743059","2017",14063000,1.38,917000
"AT0000743059","2018",15855000,1.24,857000
"AT0000743059","2019",15291000,1.2,808000
"AT0000743059","2020",10391000,1.14,1694000
"AT0000746409","2008",1963500,0.72,596100
"AT0000746409","2009",1761000,1,156700
"AT0000746409","2010",2087100,1.79,228800
"AT0000746409","2011",2717600,1.49,324700
"AT0000746409","2012",1393000,1.03,385800
"AT0000746409","2013",1412780,1.08,654240
"AT0000746409","2014",1392541,0.68,806357
"AT0000746409","2015",1528253,0.69,385387
"AT0000746409","2016",1363898,0.55,324759
"AT0000746409","2017",1513020,0.62,213955
"AT0000746409","2018",1455904,0.56,753540
"AT0000746409","2019",2168005,0.67,357604
"AT0000746409","2020",1353618,0.62,106956
"AT0000758305","2008",598057,1.34,132337
"AT0000758305","2009",418311,2.08,59078
"AT0000758305","2010",515664,1.83,55947
"AT0000758305","2011",641454,1.54,102783
"AT0000758305","2012",735695,2.18,44463
"AT0000758305","2013",715441,1.99,51219
"AT0000758305","2014",782961,1.75,85130
"AT0000758305","2015",890124,1.64,74070
"AT0000758305","2016",976179,1.42,152804
"AT0000758305","2017",1056815,1.65,99268
"AT0000758305","2018",1159626,1.66,94134
"AT0000758305","2019",1255300,1.8,67545
"AT0000758305","2020",1109691,1.72,66678
"AT0000785555","2008",484827,4.51,1252
"AT0000785555","2009",405655,4.08,0
"AT0000785555","2010",509310,4.17,0
"AT0000785555","2011",625232,4.26,14995
"AT0000785555","2012",628793,3.44,25559
"AT0000785555","2013",653091,3.12,23541
"AT0000785555","2014",677398,2.6,17674
"AT0000785555","2015",707577,2.47,10866
"AT0000785555","2016",664080,3.12,12825
"AT0000785555","2017",708913,2.28,28389
"AT0000785555","2018",691205,2.6,20962
"AT0000785555","2019",674867,2.21,43770
"AT0000785555","2020",631554,1.5,84373
"AT0000831706","2008",1414497,2.33,174858
"AT0000831706","2009",1249901,3.14,69851
"AT0000831706","2010",1079545,2.52,138892
"AT0000831706","2011",1213672,1.61,459425
"AT0000831706","2012",1466947,2.11,58062
"AT0000831706","2013",1733614,1.84,290897
"AT0000831706","2014",1822165,1.38,402085
"AT0000831706","2015",1883806,1.54,239890
"AT0000831706","2016",1886444,1.28,399924
"AT0000831706","2017",1926466,1.38,320724
"AT0000831706","2018",2021143,1.61,126907
"AT0000831706","2019",2051205,1.14,460211
"AT0000831706","2020",2120272,1.57,437720
"AT0000837307","2008",761069,1.72,5024
"AT0000837307","2009",672552,1.5,16886
"AT0000837307","2010",659529,1.54,4807
"AT0000837307","2011",728646,1.6,17301
"AT0000837307","2012",780801,1.66,3744
"AT0000837307","2013",740226,1.56,4264
"AT0000837307","2014",796628,1.42,5314
"AT0000837307","2015",826373,1.34,17301
"AT0000837307","2016",876716,1.41,6758
"AT0000837307","2017",741936,1.43,4539
"AT0000837307","2018",716617,1.28,55763
"AT0000837307","2019",710173,1.09,59877
"AT0000837307","2020",666269,1.25,28907
"AT0000937503","2008",7412900,1,3031700
"AT0000937503","2009",8575400,1.49,1333700
"AT0000937503","2010",6354200,1.44,1416900
"AT0000937503","2011",7998700,1.49,1411500
"AT0000937503","2012",9100400,1.26,1742300
"AT0000937503","2013",8628957,1.47,1707800
"AT0000937503","2014",8347979,1.59,1205200
"AT0000937503","2015",8270613,1.5,1143200
"AT0000937503","2016",8043500,1.56,1158400
"AT0000937503","2017",8136300,1.34,1846400
"AT0000937503","2018",9235400,1.44,1823000
"AT0000937503","2019",10075200,1.43,1720400
"AT0000937503","2020",9864300,1.52,1287100
"AT0000938204","2008",1281026,2.39,85274
"AT0000938204","2009",1170536,2.78,24768
"AT0000938204","2010",1315417,2.29,62435
"AT0000938204","2011",1467148,2.16,72798
"AT0000938204","2012",1451294,2.59,52352
"AT0000938204","2013",1473213,2.43,65436
"AT0000938204","2014",1524948,2.43,109187
"AT0000938204","2015",1585670,2.4,79446
"AT0000938204","2016",1645931,2.82,48912
"AT0000938204","2017",1704017,2.72,20578
"AT0000938204","2018",1682781,2.84,34334
"AT0000938204","2019",1783195,1.98,112843
"AT0000938204","2020",1746398,2.2,52915
"AT0000946652","2008",243549,2.22,36983
"AT0000946652","2009",163792,2.75,54813
"AT0000946652","2010",189968,2.37,54484
"AT0000946652","2011",244799,2.54,49211
"AT0000946652","2012",302744,2.35,67238
"AT0000946652","2013",274560,2.94,44835
"AT0000946652","2014",245366,2.8,67502
"AT0000946652","2015",201245,4.48,45020
"AT0000946652","2016",128498,3.41,69760
"AT0000946652","2017",180206,2.31,101393
"AT0000946652","2018",227721,2.07,49755
"AT0000946652","2019",264785,1.95,81243
"AT0000946652","2020",184710,2.19,61396
"AT0000969985","2008",352804,0.85,129836
"AT0000969985","2009",330740,1.08,98485
"AT0000969985","2010",263708,1.12,70455
"AT0000969985","2011",320514,0.78,116427
"AT0000969985","2012",336570,1.14,84399
"AT0000969985","2013",393766,1.22,129719
"AT0000969985","2014",403222,2.79,46076
"AT0000969985","2015",440109,2.5,46037
"AT0000969985","2016",523841,1.35,161413
"AT0000969985","2017",577560,1.25,73037
"AT0000969985","2018",632899,1.93,80734
"AT0000969985","2019",652290,3.83,37967
"AT0000969985","2020",656687,2.6,104947
"AT0000A00Y78","2008",202477,3.23,5657
"AT0000A00Y78","2009",166837,3.54,136
"AT0000A00Y78","2010",158242,3.11,1078
"AT0000A00Y78","2011",205082,2.9,944
"AT0000A00Y78","2012",229605,2.52,532
