Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A P MOLLER MAERSK B - CAPEX,DK0010244508(DWCX),DK,55379000,57849000,43822000,30958000,42058000,47108000,35178000,48766550,48234786,29489500,23501362,18194468,13592030
"A P MOLLER MAERSK B - PROPERTY, PLANT & EQUIP-GROSS",DK0010244508(WC02301),DK,358544000,386876000,425987000,457082000,478690000,425432000,521246791,611916098,644000814,319098844,344879195,407016074,375627429
AAC CLYDE SPACE - CAPEX,SE0009268154(DWCX),SK,NA,NA,NA,NA,NA,NA,NA,NA,305,250,63,783,1881
"AAC CLYDE SPACE - PROPERTY, PLANT & EQUIP-GROSS",SE0009268154(WC02301),SK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26029,37728
AAK - CAPEX,SE0011337708(DWCX),SK,549000,368000,316000,328000,343000,367000,549000,571000,969000,966000,780000,702000,787000
"AAK - PROPERTY, PLANT & EQUIP-GROSS",SE0011337708(WC02301),SK,5449000,6802000,6525000,7329000,7493000,8070000,9775000,10415000,12009000,12252000,13237000,15594000,15132000
AALBERTS - CAPEX,NL0000852564(DWCX),E,105675,109294,50292,58705,81028,103777,110679,85600,91900,109700,111200,128100,144000
"AALBERTS - PROPERTY, PLANT & EQUIP-GROSS",NL0000852564(WC02301),E,1299560,1334923,1555463,1660958,1736390,1795902,2116042,2229300,2296200,2303400,2433600,2715700,2641800
AAREAL BANK - CAPEX,DE0005408116(DWCX),E,218000,140000,27000,46000,44000,27000,36000,14000,35000,34000,43000,31000,33000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AB SCIENCE - CAPEX,FR0010557264(DWCX),E,NA,432,415,17551,433,324,433,663,618,524,503,484,390
"AB SCIENCE - PROPERTY, PLANT & EQUIP-GROSS",FR0010557264(WC02301),E,402,151,552,614,622,702,837,924,994,1044,1113,3550,3671
ABC ARBITRAGE - CAPEX,FR0004040608(DWCX),E,NA,NA,NA,3398,435,201,NA,NA,NA,NA,NA,NA,NA
