Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AP MOELLER MAERSK - DEPRECIATION AND DEPLETION,DK0010244508(WC04049),DK,19812000,24226000,30004000,27331000,26681000,26007000,39559669,53726464,48991818,19687860,21034981,28633430,28844282
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AAC CLYDE SPACE AB - DEPRECIATION AND DEPLETION,SE0009268154(WC04049),SK,NA,NA,NA,NA,NA,NA,NA,1975,5875,NA,NA,NA,NA
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AAK AB (PUBL) - DEPRECIATION AND DEPLETION,SE0011337708(WC04049),SK,354000,382000,356000,321000,326000,321000,358000,431000,430000,462000,522000,658000,755000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AALBERTS NV - DEPRECIATION AND DEPLETION,NL0000852564(WC04049),E,70059,69925,68326,70563,76959,79890,84844,95300,93700,86900,95900,130800,148100
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AAREAL BANK AG - DEPRECIATION AND DEPLETION,DE0005408116(WC04049),E,11000,11000,9000,9000,9000,9000,9000,11000,17000,16000,17000,31000,30000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AB SCIENCE S.A - DEPRECIATION AND DEPLETION,FR0010557264(WC04049),E,426,NA,717,478,52,68,NA,72,981,338,923,423,1147
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ABC ARBITRAGE - DEPRECIATION AND DEPLETION,FR0004040608(WC04049),E,282,326,745,747,728,545,646,802,550,690,779,1480,1646
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ABENGOA S.A. - DEPRECIATION AND DEPLETION,ES0105200416(WC04049),E,178371,319436,320559,258323,109483,96773,93634,814326,1900720,405011,11267,181129,NA
ABENGOA S.A. - INCREASE/DECREASE OTH ACCURALS,ES0105200416(WC04829),E,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABN AMRO BANK - DEPRECIATION AND DEPLETION,NL0011540547(WC04049),E,NA,NA,NA,NA,172000,181000,135000,137000,137000,158000,134000,201000,196000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ABSOLENT AIR CA - DEPRECIATION AND DEPLETION,SE0006256558(WC04049),SK,NA,NA,NA,NA,NA,NA,2063,3471,8784,4553,5366,11365,17280
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACADE - DEPRECIATION AND DEPLETION,SE0007897079(WC04049),SK,NA,NA,NA,NA,NA,NA,NA,NA,182000,206000,245000,280000,1513000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACCELL GROUP NV - DEPRECIATION AND DEPLETION,NL0009767532(WC04049),E,6534,6861,6713,6597,7433,7873,8915,NA,10348,9869,12372,27599,24928
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACCIONA SA - DEPRECIATION AND DEPLETION,ES0125220311(WC04049),E,1315907,668289,715679,974654,785795,3013487,526907,586920,892998,627494,640356,629261,554013
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACCOR SA - DEPRECIATION AND DEPLETION,FR0000120404(WC04049),E,451000,503000,432000,391000,327000,NA,NA,NA,NA,NA,NA,NA,NA
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACEA SPA - DEPRECIATION AND DEPLETION,IT0001207098(WC04049),E,180020,193304,125870,250453,259032,244493,203543,233990,254247,328911,366839,409557,498257
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACERINOX S.A. - DEPRECIATION AND DEPLETION,ES0132105018(WC04049),E,118490,122233,145230,145303,147291,134153,149678,163079,168553,169705,166153,175305,179090
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACKERMANS & VAN HAAR - DEPRECIATION AND DEPLETION,BE0003764785(WC04049),E,7146,8206,8665,9219,8400,11601,247268,275012,262910,269315,290853,342950,350772
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACROUD AB - DEPRECIATION AND DEPLETION,SE0001863291(WC04049),SK,0,0,0,4,27,8,1812,15,94,422,3912,7699,12077
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACS ACTIVIDADES - DEPRECIATION AND DEPLETION,ES0167050915(WC04049),E,340247,365106,404674,953952,1468872,934684,824005,788001,513934,611218,572826,969714,968315
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ADDLIFE AB - DEPRECIATION AND DEPLETION,SE0014401378(WC04049),SK,NA,NA,NA,NA,NA,NA,NA,NA,NA,19700,22000,233300,273700
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ADDTECH AB - DEPRECIATION AND DEPLETION,SE0014781795(WC04049),SK,55900,72800,76800,36500,40200,NA,41900,41300,48000,NA,NA,NA,NA
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ADEVINTA - DEPRECIATION AND DEPLETION,NO0010844038(WC04049),NK,NA,NA,NA,NA,NA,NA,NA,NA,41608,47828,59693,221541,254682
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ADIDAS AG - DEPRECIATION AND DEPLETION,DE000A1EWWW0(WC04049),E,167000,198000,194000,205000,214000,346000,405000,393000,397000,484000,490000,1214000,1370000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ADLER GROUP SA - DEPRECIATION AND DEPLETION,LU1250154413(WC04049),E,NA,NA,NA,NA,60,128,96,256,356,452,527,1488,9524
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ADLER REAL ESTATE AG - DEPRECIATION AND DEPLETION,DE0005008007(WC04049),E,65,41,19,6,10,14,121,320,414,1173,1431,4167,5694
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AEROPORTS DE PARIS - DEPRECIATION AND DEPLETION,FR0010340141(WC04049),E,327873,340702,409175,387168,391526,420109,426000,425000,471000,616000,742000,730000,1347000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ADVA AG - DEPRECIATION AND DEPLETION,DE0005103006(WC04049),E,7425,6686,5917,6140,7418,8047,8440,9216,9510,46864,11501,62191,65061
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ADYEN NV - DEPRECIATION AND DEPLETION,NL0012969182(WC04049),E,NA,NA,NA,NA,NA,NA,679,1533,3124,4615,7048,20134,26102
