Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AP MOELLER MAERSK - GROSS PROFIT MARGIN,DK0010244508(WC08306),NA,18.49,8.82,18.96,15.49,46.34,36.02,37.47,33.81,28.9,23.5,20.23,3.79,8.8
AAC CLYDE SPACE AB - GROSS PROFIT MARGIN,SE0009268154(WC08306),NA,NA,NA,NA,NA,NA,72.61,93.29,61.43,61.24,50.08,43.17,43.76,46.49
AAK AB (PUBL) - GROSS PROFIT MARGIN,SE0011337708(WC08306),NA,-1.11,8.73,5.71,5.24,5.23,5.73,5.92,6.22,6.95,6.28,6.46,6.92,6.74
AALBERTS NV - GROSS PROFIT MARGIN,NL0000852564(WC08306),NA,26.6,23.7,26.69,27.3,44.96,45.34,46.09,46.53,47.36,47.8,47.88,47.16,44.92
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AB SCIENCE S.A - GROSS PROFIT MARGIN,FR0010557264(WC08306),NA,100,52.53,58.89,41.39,52.01,45.58,60.36,67.99,29.44,67.97,46.09,20.11,26.85
ABC ARBITRAGE - GROSS PROFIT MARGIN,FR0004040608(WC08306),NA,NA,NA,NA,NA,NA,-6128.91,-4737.31,46.08,61.69,56.57,55.33,52.82,68
ABENGOA S.A. - GROSS PROFIT MARGIN,ES0105200416(WC08306),NA,-21.64,5.55,11.62,13.44,16.45,17.64,12.8,-5.81,-143.8,-27.08,6.5,-0.75,10.72
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ABSOLENT AIR CA - GROSS PROFIT MARGIN,SE0006256558(WC08306),NA,NA,NA,NA,30.4,33.75,36.02,34.4,42.38,43.44,44.52,44.16,35.48,23.88
ACADE - GROSS PROFIT MARGIN,SE0007897079(WC08306),NA,NA,NA,NA,97.23,97.33,97.29,97.42,97.51,97.83,97.77,97.69,97.47,87.66
ACCELL GROUP NV - GROSS PROFIT MARGIN,NL0009767532(WC08306),NA,22.31,21.8,33.99,19.15,30.79,29.48,29.29,30.9,29.11,27.23,28.69,28.87,26.28
ACCIONA SA - GROSS PROFIT MARGIN,ES0125220311(WC08306),NA,3.12,-6.36,0.21,0.78,5.41,39.23,44.13,45.03,42.76,43.47,43.54,41.72,35.97
ACCOR SA - GROSS PROFIT MARGIN,FR0000120404(WC08306),NA,83.6,82.14,85.24,87.07,87.36,86.74,87.81,88.32,71.93,89.62,92.83,89.26,80.07
ACEA SPA - GROSS PROFIT MARGIN,IT0001207098(WC08306),NA,24.44,23.91,50.83,27.35,23.74,33.29,33.05,33.37,38.8,37.64,36.66,38.97,39.81
ACERINOX S.A. - GROSS PROFIT MARGIN,ES0132105018(WC08306),NA,10.02,2.18,15.35,13.96,21.73,24.92,20.87,18.04,20.71,22.16,20.5,19.75,21.2
ACKERMANS & VAN HAAR - GROSS PROFIT MARGIN,BE0003764785(WC08306),NA,62.59,52.71,56.19,54.34,69.6,68.28,39.65,43.21,45,43.01,41.98,40.36,39.66
ACROUD AB - GROSS PROFIT MARGIN,SE0001863291(WC08306),NA,-106.67,7.32,25.85,13.38,12.43,16.88,17.47,61.65,84,97.74,97.5,98.87,103.26
ACS ACTIVIDADES - GROSS PROFIT MARGIN,ES0167050915(WC08306),NA,16.33,15.7,15.45,11.34,11.57,10.32,10.55,11.36,10.59,11.06,11.34,10.12,6.38
ADDLIFE AB - GROSS PROFIT MARGIN,SE0014401378(WC08306),NA,NA,NA,NA,NA,NA,38.96,38.13,37.45,31.89,32.98,32.66,29.06,30.63
ADDTECH AB - GROSS PROFIT MARGIN,SE0014781795(WC08306),NA,31.51,31.07,30.31,31.09,31.49,32.65,30.98,30.38,29.29,29.37,29.19,28.81,28.14
