Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AP MOELLER MAERSK - TOTAL INTANGIBLE OT ASSETS-NET,DK0010244508(WC02649),DK,14232000,12944000,14629000,28839000,34183000,25915000,17344734,13207811,25518104,27084869,27820819,28111661,31349000
AP MOELLER MAERSK - TOTAL DEBT % COMMON EQUITY,DK0010244508(WC08231),DK,71.02,74.09,55.66,56.55,59.85,43.8,29.67,36.32,49.06,57.22,36.43,59.62,51.5
AAC CLYDE SPACE AB - TOTAL INTANGIBLE OT ASSETS-NET,SE0009268154(WC02649),SK,NA,NA,NA,NA,NA,9173,16802,15715,14777,13391,392596,418646,494251
AAC CLYDE SPACE AB - TOTAL DEBT % COMMON EQUITY,SE0009268154(WC08231),SK,NA,NA,NA,NA,NA,3071.68,4144.41,3344.13,6.02,4.66,0.33,3.2,2.36
AAK AB (PUBL) - TOTAL INTANGIBLE OT ASSETS-NET,SE0011337708(WC02649),SK,816000,764000,682000,827000,1132000,1238000,1454000,1944000,2043000,1950000,1999000,2477000,2416000
AAK AB (PUBL) - TOTAL DEBT % COMMON EQUITY,SE0011337708(WC08231),SK,222.58,119.99,100.44,97.89,72.92,54.87,45.66,36.7,40.88,38.97,36.14,45.02,45.34
AALBERTS NV - TOTAL INTANGIBLE OT ASSETS-NET,NL0000852564(WC02649),E,594698,584812,609163,701013,686077,690920,903619,1049800,1128200,1126600,1234800,1319800,1255700
AALBERTS NV - TOTAL DEBT % COMMON EQUITY,NL0000852564(WC08231),E,132.63,102.44,81.06,71.34,55.9,46.09,60.4,60.16,54.91,41.07,38.73,44.92,36.97
AAREAL BANK AG - TOTAL INTANGIBLE OT ASSETS-NET,DE0005408116(WC02649),E,86000,78000,91000,85000,90000,107000,110000,126000,126000,153000,158000,175000,207000
AAREAL BANK AG - TOTAL DEBT % COMMON EQUITY,DE0005408116(WC08231),E,1406.5,1125.97,1055.6,744.83,723.33,887.36,882.47,722.38,587.84,511.23,544.19,545.4,539.92
