Name,Code,25/05/2008,25/05/2009,25/05/2010,25/05/2011,25/05/2012,25/05/2013,25/05/2014,25/05/2015,25/05/2016,25/05/2017,25/05/2018,25/05/2019,25/05/2020
STRABAG SE - SHORT TERM DEBT & CURRENT PORT,AT000000STR1(WC03051),274041,234515,240847,433304,384002,368830,433198,285994,202549,411098,275709,355509,163896
FACC AG - SHORT TERM DEBT & CURRENT PORT,AT00000FACC2(WC03051),NA,NA,6632,24321,55973,49921,10817,58173,21634,54295,65762,120532,164230
FLUGHAFEN WIEN - SHORT TERM DEBT & CURRENT PORT,AT00000VIE62(WC03051),120132,90672,204,71986,151007,90658,29128,109254,63917,46963,57017,25444,142398
RAIFFEISEN BANK INTL. - SHORT TERM DEBT & CURRENT PORT,AT0000606306(WC03051),13218270,10401982,30054988,34009943,24143919,30104866,22408371,16369175,12816475,22291431,10879700,12018227,13497679
PORR - SHORT TERM DEBT & CURRENT PORT,AT0000609607(WC03051),77679,173827,146820,157538,229620,151472,120232,93822,42286,122873,104128,137539,136021
CA IM.ANLAGEN - SHORT TERM DEBT & CURRENT PORT,AT0000641352(WC03051),86044,118772,236910,777089,924676,872045,202530,545214,153004,68920,219645,246478,205301
LENZING - SHORT TERM DEBT & CURRENT PORT,AT0000644505(WC03051),135355,40723,60474,134360,174661,191075,192745,172337,249247,127270,166197,129606,105616
ERSTE GROUP BANK - SHORT TERM DEBT & CURRENT PORT,AT0000652011(WC03051),38971000,32311000,18155000,22166000,19887000,17126105,15352602,14622032,19004353,20567382,24649544,18969590,31008300
S IMMO - SHORT TERM DEBT & CURRENT PORT,AT0000652250(WC03051),260457,303390,124123,208888,180352,285551,122992,132482,184096,170115,193141,145221,127802
TELEKOM AUSTRIA - SHORT TERM DEBT & CURRENT PORT,AT0000720008(WC03051),911182,856014,506653,1014185,1049424,136564,247354,810440,500065,566,245257,900616,903435
ANDRITZ - SHORT TERM DEBT & CURRENT PORT,AT0000730007(WC03051),36857,31476,40417,59470,239815,63966,227548,28501,80306,82028,464856,178831,143470
EVN - SHORT TERM DEBT & CURRENT PORT,AT0000741053(WC03051),153904,16992,205247,311600,49400,390300,194200,140100,239100,50500,89100,68800,115200
OMV - SHORT TERM DEBT & CURRENT PORT,AT0000743059(WC03051),1606509,704079,1009947,605593,414337,1008411,612000,507000,276000,917000,857000,808000,1694000
VERBUND - SHORT TERM DEBT & CURRENT PORT,AT0000746409(WC03051),596100,156700,228800,324700,385800,654240,806357,385387,324759,213955,753540,357604,106956
PALFINGER - SHORT TERM DEBT & CURRENT PORT,AT0000758305(WC03051),132337,59078,55947,102783,44463,51219,85130,74070,152804,99268,94134,67545,66678
SEMPERIT - SHORT TERM DEBT & CURRENT PORT,AT0000785555(WC03051),1252,0,0,14995,25559,23541,17674,10866,12825,28389,20962,43770,84373
UNIQA INSU GR AG - SHORT TERM DEBT & CURRENT PORT,AT0000821103(WC03051),27,6986,2710,3551,2690,1126,184,0,0,0,772196,4981,7951
WIENERBERGER - SHORT TERM DEBT & CURRENT PORT,AT0000831706(WC03051),174858,69851,138892,459425,58062,290897,402085,239890,399924,320724,126907,460211,437720
ZUMTOBEL - SHORT TERM DEBT & CURRENT PORT,AT0000837307(WC03051),5024,16886,4807,17301,3744,4264,5314,17301,6758,4539,55763,59877,28907
VIENNA INSURANCE GROUP A - SHORT TERM DEBT & CURRENT PORT,AT0000908504(WC03051),0,0,NA,NA,NA,0,0,0,0,0,0,0,0
VOESTALPINE - SHORT TERM DEBT & CURRENT PORT,AT0000937503(WC03051),3031700,1333700,1416900,1411500,1742300,1707800,1205200,1143200,1158400,1846400,1823000,1720400,1287100
MAY - SHORT TERM DEBT & CURRENT PORT,AT0000938204(WC03051),85274,24768,62435,72798,52352,65436,109187,79446,48912,20578,34334,112843,52915
SCHOELLE - SHORT TERM DEBT & CURRENT PORT,AT0000946652(WC03051),36983,54813,54484,49211,67238,44835,67502,45020,69760,101393,49755,81243,61396
AT&S AU.TCHG.& SYSTK. - SHORT TERM DEBT & CURRENT PORT,AT0000969985(WC03051),129836,98485,70455,116427,84399,129719,46076,46037,161413,73037,80734,37967,104947
PETRO WELT TECHS. - SHORT TERM DEBT & CURRENT PORT,AT0000A00Y78(WC03051),5657,136,1078,944,532,147,695,4754,8709,112526,0,146,266
IMMOFINANZ - SHORT TERM DEBT & CURRENT PORT,AT0000A21KS2(WC03051),464503,1008491,905441,827492,1028906,785421,1298551,1730536,741245,568487,344265,8063,106749
OSTERREICHISCHE POST - SHORT TERM DEBT & CURRENT PORT,AT0000APOST4(WC03051),103100,94500,54500,10600,3100,3900,3100,8100,1800,3400,6800,38800,610500
BAWAG GROUP - SHORT TERM DEBT & CURRENT PORT,AT0000BAWAG2(WC03051),NA,NA,NA,NA,3748000,1646000,2420000,3586000,2064000,4009000,4281000,3292000,7715000
PIERER MOBILITY - SHORT TERM DEBT & CURRENT PORT,AT0000KTMI02(WC03051),2713,313,3191,1657,1617,731,1693,57343,190700,171494,73163,86358,74594
AGRANA BETEILIGUNGS - SHORT TERM DEBT & CURRENT PORT,AT000AGRANA3(WC03051),370116,405718,347160,294868,341885,305802,328316,309354,247820,276681,61629,144639,126814
KAPSCH TRAFFICCOM - SHORT TERM DEBT & CURRENT PORT,AT000KAPSCH9(WC03051),17382,49210,9237,23083,53249,19658,46560,48969,21349,97902,26675,29934,64291
FREQUENTIS - SHORT TERM DEBT & CURRENT PORT,ATFREQUENT09(WC03051),NA,NA,NA,NA,NA,3554,475,231,135,204,1651,8898,8607
IGO - SHORT TERM DEBT & CURRENT PORT,AU000000IGO4(WC03051),632,0,0,5789,11685,6030,3508,510,43154,56226,56226,56226,63172
SOLVAY - SHORT TERM DEBT & CURRENT PORT,BE0003470755(WC03051),627000,185000,212000,794000,331000,769000,853000,892000,1338000,1044000,630000,1124000,277000
KBC GROUP - SHORT TERM DEBT & CURRENT PORT,BE0003565737(WC03051),43757000,27907000,11362000,21121000,16573000,14561000,17981000,19326000,32443000,33544000,24861000,21479000,38260000
COFINIMMO - SHORT TERM DEBT & CURRENT PORT,BE0003593044(WC03051),220844,244659,313730,246316,351203,455509,473499,445676,558167,462810,613107,870993,1036612
RECTICEL - SHORT TERM DEBT & CURRENT PORT,BE0003656676(WC03051),68872,47740,45691,67680,59691,66181,43016,106961,42910,46086,90021,116569,13730
