Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AP MOELLER MAERSK - NET CASH FLOW-OPERATING ACTIVS,DK0010244508(WC04860),DK,43422000,25098000,56972000,38872000,44192000,49443000,63612716,53895542,29044427,24409028,42759529,34116996,47066853
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AAC CLYDE SPACE AB - NET CASH FLOW-OPERATING ACTIVS,SE0009268154(WC04860),SK,NA,NA,NA,NA,NA,NA,NA,-17209,-11232,-34479,-48610,-15706,-16687
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AAK AB (PUBL) - NET CASH FLOW-OPERATING ACTIVS,SE0011337708(WC04860),SK,17000,2265000,757000,289000,1539000,1300000,692000,1736000,1213000,1099000,1090000,1558000,2023000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AALBERTS NV - NET CASH FLOW-OPERATING ACTIVS,NL0000852564(WC04860),E,164682,196222,185366,197867,202399,212883,235554,238800,305500,336200,321800,377800,377600
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AAREAL BANK AG - NET CASH FLOW-OPERATING ACTIVS,DE0005408116(WC04860),E,-2276000,1120000,938000,273000,-110000,1809000,502000,-829000,-2865000,-1480000,-294000,485000,3009000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AB SCIENCE S.A - NET CASH FLOW-OPERATING ACTIVS,FR0010557264(WC04860),E,-5704,NA,-7849,-8001,-6027,-12641,-14117,-23240,-33634,-22889,-26799,-15227,-13462
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ABC ARBITRAGE - NET CASH FLOW-OPERATING ACTIVS,FR0004040608(WC04860),E,33062,22438,4472,17348,80027,88914,8727,11690,12504,27138,22530,26890,24305
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ABENGOA S.A. - NET CASH FLOW-OPERATING ACTIVS,ES0105200416(WC04860),E,705076,803452,769391,1294248,442726,659659,-263060,-1455607,-628801,-143369,15742,-20306,-21672
ABENGOA S.A. - INCREASE/DECREASE OTH ACCURALS,ES0105200416(WC04829),E,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABN AMRO BANK - NET CASH FLOW-OPERATING ACTIVS,NL0011540547(WC04860),E,NA,NA,NA,NA,3805000,-2483000,17262000,314000,-4770000,-4827000,-989000,2414000,3210000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ABSOLENT AIR CA - NET CASH FLOW-OPERATING ACTIVS,SE0006256558(WC04860),SK,NA,NA,NA,27324,31359,42306,47536,49518,49357,89034,92074,126084,54447
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACADE - NET CASH FLOW-OPERATING ACTIVS,SE0007897079(WC04860),SK,NA,NA,NA,NA,NA,NA,NA,NA,423000,765000,862000,628000,2112000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACCELL GROUP NV - NET CASH FLOW-OPERATING ACTIVS,NL0009767532(WC04860),E,42810,39311,3547,39710,54712,-22613,38496,-18337,76251,8235,44606,-62302,206468
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACCIONA SA - NET CASH FLOW-OPERATING ACTIVS,ES0125220311(WC04860),E,1193873,207121,1244538,893782,759254,795776,809993,682953,823001,491087,635652,716342,967523
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ACCOR SA - NET CASH FLOW-OPERATING ACTIVS,FR0000120404(WC04860),E,1050000,383000,673000,673000,126000,522000,685000,749000,236000,1185000,583000,136000,-474000
