Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AP MOELLER MAERSK - OPERATING INCOME,DK0010244508(WC01250),DK,56805000,21713000,59493000,49867000,39697000,38314000,41907960,27167574,13594977,4492619,910989,5356662,22711624
AP MOELLER MAERSK - NET SALES%WORKING CAPITAL,DK0010244508(WC08141),DK,-211.4,-61.2,28.04,38.39,32.67,10.23,6.59,25.98,82.75,3.49,5.11,20.9,15.8
AAC CLYDE SPACE AB - OPERATING INCOME,SE0009268154(WC01250),SK,NA,NA,NA,NA,NA,-1700,-18157,-19261,-21877,-27254,-53067,-46370,-34907
AAC CLYDE SPACE AB - NET SALES%WORKING CAPITAL,SE0009268154(WC08141),SK,NA,NA,NA,NA,NA,-2.84,-1.01,-1.57,0.4,0.45,3.79,1.47,1.84
AAK AB (PUBL) - OPERATING INCOME,SE0011337708(WC01250),SK,-224000,1377000,836000,863000,867000,945000,1046000,1230000,1521000,1657000,1776000,1949000,1830000
AAK AB (PUBL) - NET SALES%WORKING CAPITAL,SE0011337708(WC08141),SK,4.95,5.45,4.71,4.65,5.59,6.05,5.12,6.16,5.56,6.94,5.39,4.83,5.95
AALBERTS NV - OPERATING INCOME,NL0000852564(WC01250),E,162784,78156,141547,186245,187194,192054,205295,227700,244400,290700,283100,278000,172900
AALBERTS NV - NET SALES%WORKING CAPITAL,NL0000852564(WC08141),E,18.51,20.48,17.01,22.9,35.18,70.38,14.03,9.95,12.98,11.38,9.79,11.44,19.97
AAREAL BANK AG - OPERATING INCOME,DE0005408116(WC01250),E,110000,88000,150000,184000,178000,180000,248000,271000,295000,293000,225000,216000,-87000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AB SCIENCE S.A - OPERATING INCOME,FR0010557264(WC01250),E,-7995,-8297,-9852,-9716,-10613,-13772,-15203,-25964,-30207,-28404,-28944,-17474,-14749
AB SCIENCE S.A - NET SALES%WORKING CAPITAL,FR0010557264(WC08141),E,0,0.06,0.05,0.06,0.07,0.07,0.13,0.18,0.1,0.06,1.13,-0.29,0.42
ABC ARBITRAGE - OPERATING INCOME,FR0004040608(WC01250),E,64656,44286,40749,49892,36186,14268,27929,26321,30200,17713,19318,18071,35440
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ABENGOA S.A. - OPERATING INCOME,ES0105200416(WC01250),E,-735337,127545,373118,628213,649084,669246,820916,-438304,-2201676,-420507,70746,-25345,120538
ABENGOA S.A. - NET SALES%WORKING CAPITAL,ES0105200416(WC08141),E,159.39,-6.24,176.82,192.46,-8.28,-6.15,-51.02,-0.73,-0.18,-1.48,-0.3,-0.31,-0.25
ABN AMRO BANK - OPERATING INCOME,NL0011540547(WC01250),E,NA,NA,NA,NA,1331000,1510000,1474000,2687000,2291000,3541000,3071000,2479000,1484000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ABSOLENT AIR CA - OPERATING INCOME,SE0006256558(WC01250),SK,NA,NA,NA,19525,23068,31415,32735,73722,73414,85608,117443,107610,-81665
ABSOLENT AIR CA - NET SALES%WORKING CAPITAL,SE0006256558(WC08141),SK,NA,NA,NA,5.94,5.34,4.93,3.87,4.84,3.27,3.13,2.61,3.25,1.45
ACADE - OPERATING INCOME,SE0007897079(WC01250),SK,NA,NA,NA,227077,293998,375783,449606,596000,567000,638000,670000,634000,937000
ACADE - NET SALES%WORKING CAPITAL,SE0007897079(WC08141),SK,NA,NA,NA,-15.61,-20.2,-22.42,-10.34,-10.55,-9.34,-11.64,-8.89,-10.47,-6.1
ACCELL GROUP NV - OPERATING INCOME,NL0009767532(WC01250),E,48462,49863,46300,34774,35947,36934,44487,62534,61058,38009,36405,55340,77283
ACCELL GROUP NV - NET SALES%WORKING CAPITAL,NL0009767532(WC08141),E,4.66,4.77,4.09,4.04,7.89,4.51,4.93,5.35,5.54,4.69,4.9,6.64,4.02
ACCIONA SA - OPERATING INCOME,ES0125220311(WC01250),E,29985,-655947,-215981,-157718,188926,-294668,175616,363539,-141559,-1116,143800,5943,-434442
ACCIONA SA - NET SALES%WORKING CAPITAL,ES0125220311(WC08141),E,10.98,6.71,-12.21,16.24,17.21,-1871.14,8.54,8.47,23.69,8.48,-11.76,-58.14,-13.46
ACCOR SA - OPERATING INCOME,FR0000120404(WC01250),E,812000,500000,446000,530000,526000,536000,602000,665000,389000,492000,550000,497000,-665000
ACCOR SA - NET SALES%WORKING CAPITAL,FR0000120404(WC08141),E,-5.17,-5.13,-228.77,21.55,29.89,9.58,3.2,2.85,267.17,4.97,4.98,3.39,2.37
ACEA SPA - OPERATING INCOME,IT0001207098(WC01250),E,351762,146865,762471,280116,246606,385549,363104,316488,433825,319453,358484,407782,436227
ACEA SPA - NET SALES%WORKING CAPITAL,IT0001207098(WC08141),E,33.98,-15.52,6.02,75.85,-17.33,24.58,3.63,7.39,7.51,746.02,22.42,-15.87,-22.17
ACERINOX S.A. - OPERATING INCOME,ES0132105018(WC01250),E,28870,-337533,209926,158650,36677,76349,280631,108403,144957,305804,303230,171698,189981
ACERINOX S.A. - NET SALES%WORKING CAPITAL,ES0132105018(WC08141),E,4.64,5.44,6.61,7.56,7.81,11.54,5.06,6.02,3.96,4.76,4.14,3.81,3.4
ACKERMANS & VAN HAAR - OPERATING INCOME,BE0003764785(WC01250),E,96394,56968,88433,75383,98062,81510,310232,330232,331561,308433,370842,322778,239794
ACKERMANS & VAN HAAR - NET SALES%WORKING CAPITAL,BE0003764785(WC08141),E,NA,NA,NA,NA,NA,-0.37,-3.42,-2.57,-1.8,-1.52,-1.49,-1.56,-1.42
ACROUD AB - OPERATING INCOME,SE0001863291(WC01250),SK,-1179,-453,1655,-7311,-1558,-4963,-6418,-4844,13323,101840,118663,79529,45275
ACROUD AB - NET SALES%WORKING CAPITAL,SE0001863291(WC08141),SK,-0.73,29.6,6.82,47.67,21.07,0.8,-2.18,-1.57,-2.52,3.56,1.83,-0.64,1.54
ACS ACTIVIDADES - OPERATING INCOME,ES0167050915(WC01250),E,711182,646561,735287,809859,1150456,1173046,232530,825753,794994,1023053,1192447,1172530,-262633
ACS ACTIVIDADES - NET SALES%WORKING CAPITAL,ES0167050915(WC08141),E,2.52,474.55,-19.68,-76.57,26.38,15.84,80.75,16.57,115.52,19.17,30.94,207.54,18.75
ADDLIFE AB - OPERATING INCOME,SE0014401378(WC01250),SK,NA,NA,NA,NA,NA,97000,102800,106400,150800,160400,158300,174400,671600
ADDLIFE AB - NET SALES%WORKING CAPITAL,SE0014401378(WC08141),SK,NA,NA,NA,NA,NA,10.03,15.2,9.02,-16.38,-6.75,-5.21,-12.43,-100.25
ADDTECH AB - OPERATING INCOME,SE0014781795(WC01250),SK,414600,340900,209600,363600,459500,416400,473500,511500,418000,563000,640000,879000,1061000
ADDTECH AB - NET SALES%WORKING CAPITAL,SE0014781795(WC08141),SK,12.53,11.03,8.7,12.55,20.8,31.41,21.82,20.6,20.31,34.68,19.96,17.03,7.3
ADEVINTA - OPERATING INCOME,NO0010844038(WC01250),NK,NA,NA,NA,NA,NA,NA,NA,NA,432726,680839,1192894,1515342,1226127
ADEVINTA - NET SALES%WORKING CAPITAL,NO0010844038(WC08141),NK,NA,NA,NA,NA,NA,NA,NA,NA,5.55,5.41,3.92,66.72,1.05
ADIDAS AG - OPERATING INCOME,DE000A1EWWW0(WC01250),E,914000,390000,726000,851000,994000,1093000,813000,932000,1174000,1817000,2318000,2609000,882000
ADIDAS AG - NET SALES%WORKING CAPITAL,DE000A1EWWW0(WC08141),E,8.38,6.3,6.08,6.19,5.95,6.82,4.9,7.93,9.1,9.01,7.36,10.84,5.96
ADLER GROUP SA - OPERATING INCOME,LU1250154413(WC01250),E,NA,NA,NA,NA,2128,4137,10925,25081,45408,58813,68265,44024,-152280
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
ADLER REAL ESTATE AG - OPERATING INCOME,DE0005008007(WC01250),E,NA,NA,NA,NA,NA,NA,-19196,12591,-28681,-23672,12631,50096,512298
ADLER REAL ESTATE AG - NET SALES%WORKING CAPITAL,DE0005008007(WC08141),E,0.28,0.16,0.05,0.32,0.35,3.98,NA,NA,NA,NA,NA,NA,NA
AEROPORTS DE PARIS - OPERATING INCOME,FR0010340141(WC01250),E,492557,508612,533355,585944,572411,624588,671000,726000,661000,880000,1116000,923000,-768000
AEROPORTS DE PARIS - NET SALES%WORKING CAPITAL,FR0010340141(WC08141),E,-58.9,-32.51,22.53,7.42,861.77,7.36,2.73,2.12,2.39,2.83,7.9,14.33,1.46
ADVA AG - OPERATING INCOME,DE0005103006(WC01250),E,-6987,-301,6909,11185,16841,3999,3163,23601,17145,-537,10398,8625,25377
ADVA AG - NET SALES%WORKING CAPITAL,DE0005103006(WC08141),E,3.44,4.54,3.77,4.14,4,2.91,3.13,3.27,4.47,10.74,4.5,5.06,4.83
ADYEN NV - OPERATING INCOME,NL0012969182(WC01250),E,NA,NA,NA,NA,NA,NA,13634,40846,62939,93394,173070,256795,373730
ADYEN NV - NET SALES%WORKING CAPITAL,NL0012969182(WC08141),E,NA,NA,NA,NA,NA,NA,1.3,1.76,2.4,2.98,3.92,4.23,3.62
AEDAS HOMES SA - OPERATING INCOME,ES0105287009(WC01250),E,NA,NA,NA,NA,NA,NA,NA,NA,-2293,-36294,-6507,53592,28968
AEDAS HOMES SA - NET SALES%WORKING CAPITAL,ES0105287009(WC08141),E,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0.08,0.35,0.31
AEDIFICA NV - OPERATING INCOME,BE0003851681(WC01250),E,7230,10531,15238,17434,20174,24044,27103,33143,36380,58589,67171,94298,125564
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AEGEAN AIRLINES S.A. - OPERATING INCOME,GRS495003006(WC01250),E,44316,18205,-31304,-41777,-15226,67444,96234,78377,44630,86435,75269,104126,-231195
AEGEAN AIRLINES S.A. - NET SALES%WORKING CAPITAL,GRS495003006(WC08141),E,6.43,3.74,3.97,6.1,8.08,5.62,13.37,15.93,9.68,9.9,11.51,6.28,67.48
AEGON N.V. - OPERATING INCOME,NL0000303709(WC01250),E,546000,376000,2404000,1456000,2427000,1596000,1825000,994000,1023000,2485000,840000,1947000,595000
#ERROR,,,"$$ER: 4540,NO DATA VALUES FOUND",,,,,,,,,,,,
AENA SME SA - OPERATING INCOME,ES0105046009(WC01250),E,NA,NA,NA,13386,219005,749977,1017891,1213149,1429197,1676271,1802733,1950762,2960
AENA SME SA - NET SALES%WORKING CAPITAL,ES0105046009(WC08141),E,NA,NA,NA,-1.29,-1.55,-2.24,-2.93,-4.58,-7.21,-14.64,-10.91,-3.35,6.27
AEROPORTO GUGLI - OPERATING INCOME,IT0001006128(WC01250),E,NA,NA,NA,NA,5863,7322,11306,13415,16413,22015,24275,29921,-18478
AEROPORTO GUGLI - NET SALES%WORKING CAPITAL,IT0001006128(WC08141),E,NA,NA,NA,NA,-11.19,-4.68,-5.06,2.5,9.78,30.44,-20.77,-14.03,5.77
