Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AP MOELLER MAERSK - NET SALES OR REVENUES,DK0010244508(WC01001),DK,311821000,260026000,315396000,322520000,342058000,266236000,268523675,272609050,239152903,202069922,246846290,259751366,258169320
AP MOELLER MAERSK - EMPLOYEES,DK0010244508(WC07011),DK,119599,115386,108110,117080,121105,88909,89207,88355,87736,75813,80220,86279,83624
AAC CLYDE SPACE AB - NET SALES OR REVENUES,SE0009268154(WC01001),SK,NA,NA,NA,NA,NA,34607,15233,24077,22826,13282,77888,66435,98384
AAC CLYDE SPACE AB - EMPLOYEES,SE0009268154(WC07011),SK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,121
AAK AB (PUBL) - NET SALES OR REVENUES,SE0011337708(WC01001),SK,17207000,15884000,14808000,16695000,16911000,16537000,17814000,20114000,22057000,26436000,27592000,28510000,27934000
AAK AB (PUBL) - EMPLOYEES,SE0011337708(WC07011),SK,2623,2131,2101,2065,2211,2207,2439,2738,2970,3399,3609,3884,3978
AALBERTS NV - NET SALES OR REVENUES,NL0000852564(WC01001),E,1750752,1404933,1682781,1937419,2024481,2040040,2200791,2475300,2522100,2694000,2758900,2841300,2610400
AALBERTS NV - EMPLOYEES,NL0000852564(WC07011),E,10880,9999,11536,12282,12048,12311,14492,14709,15338,16003,16452,16094,14782
AAREAL BANK AG - NET SALES OR REVENUES,DE0005408116(WC01001),E,2193000,1399000,1121000,1340000,1187000,1031000,1198000,1195000,1090000,989000,1161000,1277000,1033000
AAREAL BANK AG - EMPLOYEES,DE0005408116(WC07011),E,2502,2315,2407,2353,2289,2375,2548,2746,2728,2800,2748,2788,2982
AB SCIENCE S.A - NET SALES OR REVENUES,FR0010557264(WC01001),E,1,316,917,1104,1340,1933,2099,2284,1508,1739,1701,1571,1583
AB SCIENCE S.A - EMPLOYEES,FR0010557264(WC07011),E,62,NA,77,76,88,99,124,146,123,111,123,103,92
ABC ARBITRAGE - NET SALES OR REVENUES,FR0004040608(WC01001),E,88234,63556,60111,74020,53507,91,129,13820,17716,16275,17099,14725,23085
ABC ARBITRAGE - EMPLOYEES,FR0004040608(WC07011),E,66,69,74,76,77,78,82,88,85,86,83,77,81
ABENGOA S.A. - NET SALES OR REVENUES,ES0105200416(WC01001),E,3114539,4147315,5566149,7089157,7783268,7356470,7150567,5755482,1510053,1479768,1302726,1493198,1250581
