"ISIN","year","cur_rat","stlt_lia","cogs"
"AT000000STR1","2008",1.25,274041,8376563
"AT000000STR1","2009",1.26,234515,8344762
"AT000000STR1","2010",1.26,240847,8102134
"AT000000STR1","2011",1.2,433304,9140145
"AT000000STR1","2012",1.23,384002,8555381
"AT000000STR1","2013",1.27,368830,8136837
"AT000000STR1","2014",1.22,433198,8137568
"AT000000STR1","2015",1.32,285994,8696205
"AT000000STR1","2016",1.33,202549,7965081
"AT000000STR1","2017",1.26,411098,8879834
"AT000000STR1","2018",1.22,275709,10146575
"AT000000STR1","2019",1.16,355509,10062352
"AT000000STR1","2020",1.24,163896,9280889
"AT0000720008","2008",0.7,911182,360963
"AT0000720008","2009",0.76,856014,324351
"AT0000720008","2010",0.76,506653,1127658
"AT0000720008","2011",0.73,1014185,1165796
"AT0000720008","2012",0.78,1049424,1252563
"AT0000720008","2013",0.85,136564,508947
"AT0000720008","2014",1.33,247354,457275
"AT0000720008","2015",0.85,810440,471676
"AT0000720008","2016",0.78,500065,1868423
"AT0000720008","2017",0.99,566,1978441
"AT0000720008","2018",0.82,245257,2023566
"AT0000720008","2019",0.87,900616,1956328
"AT0000720008","2020",0.74,903435,1964331
"AT0000758305","2008",1.34,132337,598057
"AT0000758305","2009",2.08,59078,418311
"AT0000758305","2010",1.83,55947,515664
"AT0000758305","2011",1.54,102783,641454
"AT0000758305","2012",2.18,44463,735695
"AT0000758305","2013",1.99,51219,715441
"AT0000758305","2014",1.75,85130,782961
"AT0000758305","2015",1.64,74070,890124
"AT0000758305","2016",1.42,152804,976179
"AT0000758305","2017",1.65,99268,1056815
"AT0000758305","2018",1.66,94134,1159626
"AT0000758305","2019",1.8,67545,1255300
"AT0000758305","2020",1.72,66678,1109691
"AT0000969985","2008",0.85,129836,352804
"AT0000969985","2009",1.08,98485,330740
"AT0000969985","2010",1.12,70455,263708
"AT0000969985","2011",0.78,116427,320514
"AT0000969985","2012",1.14,84399,336570
"AT0000969985","2013",1.22,129719,393766
"AT0000969985","2014",2.79,46076,403222
"AT0000969985","2015",2.5,46037,440109
"AT0000969985","2016",1.35,161413,523841
"AT0000969985","2017",1.25,73037,577560
"AT0000969985","2018",1.93,80734,632899
"AT0000969985","2019",3.83,37967,652290
"AT0000969985","2020",2.6,104947,656687
"AT000AGRANA3","2008",1.3,370116,1411804
"AT000AGRANA3","2009",1.19,405718,1648222
"AT000AGRANA3","2010",1.27,347160,1554712
"AT000AGRANA3","2011",1.49,294868,1697733
"AT000AGRANA3","2012",1.57,341885,1965036
"AT000AGRANA3","2013",1.75,305802,2158767
"AT000AGRANA3","2014",1.58,328316,2174197
"AT000AGRANA3","2015",1.6,309354,1778438
"AT000AGRANA3","2016",1.83,247820,1757017
"AT000AGRANA3","2017",1.74,276681,1776305
"AT000AGRANA3","2018",2.48,61629,1741897
"AT000AGRANA3","2019",1.94,144639,1699876
"AT000AGRANA3","2020",2.04,126814,1692615
"BE0003470755","2008",1.35,627000,5910000
"BE0003470755","2009",2.62,185000,4253000
"BE0003470755","2010",3.47,212000,4790000
"BE0003470755","2011",1.6,794000,6114000
"BE0003470755","2012",1.91,331000,9444000
"BE0003470755","2013",1.75,769000,7262000
"BE0003470755","2014",1.27,853000,7429000
"BE0003470755","2015",1.53,892000,7716000
"BE0003470755","2016",1.32,1338000,7701000
"BE0003470755","2017",1.47,1044000,7253000
"BE0003470755","2018",1.68,630000,7715000
"BE0003470755","2019",1.53,1124000,7602000
"BE0003470755","2020",1.62,277000,6555000
"BE0003735496","2008",0.46,243275,576994
