"","X.1","Country","year","ISIN","X","scope1","scope2","scope3","scope_total","CURRENCY","Rev","Emp","TA","NPPE","INTAN","Debt_comm_eq","Capex","PPEG","Dprc","Accr","S_pillar","E_pillar","G_pillar","NCFOA","Debt_TotCap","GMAR","OIBD","OI","NS_WC","iso","FuelInten","Income.group","CO2_imp","ggroup","gind","gsector","gsubind","naics","naicsh"
"1",1,"AUSTRALIA",2015,"AU000000IGO4",184,37181,18245,NA,55426,"A$",495326,NA,689706,460474,0,0.08,73317,593720,98551,NA,21.47,50.31,73.83,201713,0.08,44.4,208804,110253,3.22,"AU","  67.3","High income","National",1510,151040,15,15104020,212,212
"2",2,"AUSTRALIA",2018,"AU000000IGO4",187,71123,14042,NA,85165,"A$",777946,244,1967657,1563598,0,7.92,182648,1637275,252133,NA,36.29,42.28,78.57,276797,7.34,27.44,337369,85236,3.48,"AU","  74.2","High income","National",1510,151040,15,15104020,212,212
"3",3,"AUSTRALIA",2019,"AU000000IGO4",188,73963,130,11178,74093,"A$",784512,NA,2010032,1448195,0,4.57,131740,1487316,237118,NA,54.65,52.43,72.51,372310,4.37,25.05,347513,110395,2.05,"AU","  76.6","High income","National",1510,151040,15,15104020,212,212
"4",4,"AUSTRALIA",2017,"AU000000IGO4",186,76482,13743,NA,90225,"A$",421926,450,1957054,1717857,0,11.37,270173,1875112,89773,NA,34.95,36.85,69.31,64247,10.21,35.61,140809,51036,4.32,"AU","  71.9","High income","National",1510,151040,15,15104020,212,212
"5",5,"AUSTRALIA",2011,"AU000000IGO4",182,32675,21595,NA,54270,"A$",150880,NA,942010,506178,117515,1.41,54224,539411,27115,NA,7.66,18.82,73.69,62713,1.39,33.38,77739,50371,0.7,"AU","  61.9","High income","National",1510,151040,15,15104020,212,212
"6",6,"AUSTRALIA",2012,"AU000000IGO4",183,38429,15448,NA,53877,"A$",216557,NA,660304,363818,454,2.9,134254,471373,38932,NA,8.52,25.24,73.78,43401,2.82,21.82,55668,16437,1,"AU","  64.9","High income","National",1510,151040,15,15104020,212,212
"7",7,"AUSTRALIA",2020,"AU000000IGO4",189,63536,173,31245,63709,"A$",888930,NA,2173296,1342227,0,5.02,85081,2229006,243633,NA,69.99,71.15,75.16,397517,4.78,32.31,431665,188032,1.39,"AU","  86.6","High income","National",1510,151040,15,15104020,212,212
"8",8,"AUSTRALIA",2010,"AU000000IGO4",181,4729,21873,NA,26602,"A$",111109,NA,266279,92162,1006,0,37422,120506,11125,NA,6.31,15.61,70.11,63992,0,41.47,57449,46049,0.82,"AU","  61.0","High income","National",1510,151040,15,15104020,212,212
"9",9,"AUSTRALIA",2016,"AU000000IGO4",185,49624,15598,NA,65222,"A$",413188,NA,1787964,1625693,0,18.26,126841,1771728,99695,NA,19.79,45.96,45.32,95194,15.44,34.02,134978,35283,-13.68,"AU","  69.3","High income","National",1510,151040,15,15104020,212,212
"10",10,"AUSTRIA",2013,"AT0000831706",120,NA,NA,NA,1835695,"E",2662943,11893,4164727,1663283,842897,92.07,121955,3767046,197961,NA,27.99,67.09,59.29,194065,47.91,26.97,232426,21184,3.77,"AT","  15.9","High income","National",1510,151020,15,15102010,327120,327121
"11",11,"AUSTRIA",2013,"AT0000606306",27,291,95,2865,386,"E",8475179,57901,130150854,1594558,1248709,620.21,329896,NA,211547,NA,50.57,73.2,23.1,205001,81.54,NA,1153336,722424,NA,"AT","  15.9","High income","National",NA,NA,NA,NA,NA,NA
"12",12,"AUSTRIA",2015,"AT0000831706",122,NA,NA,NA,2064000,"E",2972357,15813,3673150,1614874,701425,80.1,127459,4098165,201214,NA,52.2,78.1,66.38,261903,44.19,29.98,317763,120235,6.86,"AT","  15.5","High income","National",1510,151020,15,15102010,327120,327121
"13",13,"AUSTRIA",2013,"AT0000APOST4",163,45537,6411,19951,51948,"E",2366800,24211,1583300,615900,223900,3.03,78900,1316100,118500,NA,71.35,45.21,67.86,251700,2.93,64.94,242400,162600,43.51,"AT","  15.9","High income","National",2030,203010,20,20301010,492110,492110
"14",14,"AUSTRIA",2014,"AT0000746409",98,1765000,491000,276000,2256000,"E",2825531,3245,12247296,9436551,796393,79.05,560094,17354951,424344,NA,42.66,83.31,58.92,716949,41.25,36.81,833243,440243,-5.63,"AT","  14.4","High income","National",5510,551010,55,55101010,2211,2211
"15",15,"AUSTRIA",2015,"AT0000746409",99,1737000,410000,314000,2147000,"E",2969650,3098,11762993,9201878,804729,64.4,460388,17558378,481119,NA,50.39,86.91,64.32,673979,36.41,36.41,854416,494316,-9.84,"AT","  15.5","High income","National",5510,551010,55,55101010,2211,2211
"16",16,"AUSTRIA",2014,"AT0000APOST4",164,43880,7447,19345,51327,"E",2370500,NA,1602400,597700,172100,2.52,96400,1205900,136900,NA,65.96,42.19,79.59,234600,2.46,65.21,203300,121300,21.81,"AT","  14.4","High income","National",2030,203010,20,20301010,492110,492110
"17",17,"AUSTRIA",2014,"AT0000606306",28,199,181,2340,380,"E",7655578,54730,121339321,1407714,759252,476.31,450457,NA,202712,NA,48.68,77.74,20.48,5332640,81.75,NA,724610,343480,NA,"AT","  14.4","High income","National",NA,NA,NA,NA,NA,NA
"18",18,"AUSTRIA",2015,"AT0000743059",86,12200000,4e+05,1.12e+08,12600000,"E",22527000,24124,31814000,16440000,3275000,80.58,3834000,35581000,5159000,NA,87.26,61.11,80.44,2835000,38.67,10.3,2967000,820000,45.51,"AT","  15.5","High income","National",1010,101020,10,10102010,2111,211111
"19",19,"AUSTRIA",2014,"AT0000937503",137,NA,NA,NA,12258180,"E",11227955,48113,12323938,4771962,1808950,113.31,865925,13387462,595000,NA,47.56,59.37,55.3,917003,52.74,20.44,1151405,566805,5.47,"AT","  14.4","High income","National",1510,151040,15,15104050,331110,331111
"20",20,"AUSTRIA",2017,"AT0000937503",140,NA,NA,NA,12752740,"E",11294500,49703,14493800,6371900,1968900,93.56,1077000,16479600,717800,NA,65.67,61.83,45.74,1150400,47.57,21.66,1321400,609200,7.45,"AT","  17.5","High income","National",1510,151040,15,15104050,331110,331111
"21",21,"AUSTRIA",2012,"AT000000STR1",3,976651,316702,NA,1293350,"E",12983233,74010,9940072,2225572,530361,57.66,477150,5131890,356649,NA,39.81,50.48,33.56,268801,34.29,30.88,464217,45772,12.39,"AT","  16.5","High income","National",2010,201030,20,20103010,237,234
"22",22,"AUSTRIA",2012,"AT0000720008",63,28649,189647,71984,218296,"E",4329703,16446,7090066,2426436,2812078,464.79,738979,11527250,651227,-97751,74.38,68.51,76.67,1047922,82.28,48.81,1415375,451403,-8.44,"AT","  16.5","High income","National",5010,501010,50,50101020,517919,517919
"23",23,"AUSTRIA",2009,"AT0000743059",80,11732400,814900,108555000,12547300,"E",17917267,34676,21237616,11370405,812391,49.25,3229983,19656142,975045,NA,83.3,64.39,77.3,1846742,28.44,17.14,3000274,1931360,20.13,"AT","  16.5","High income","National",1010,101020,10,10102010,2111,211111
"24",24,"AUSTRIA",2012,"AT00000VIE62",15,NA,NA,NA,327488,"E",607372,4306,2061803,1683076,16177,93.68,223477,2674389,109596,NA,37.49,30.45,46.44,179671,48.35,79.17,220533,126106,-2.69,"AT","  16.5","High income","National",2030,203050,20,20305010,48811,48811
"25",25,"AUSTRIA",2011,"AT0000831706",118,NA,NA,NA,2061469,"E",2023706,12755,4080761,1836198,680039,77.36,96867,3778610,185108,NA,32.29,61.47,68.45,146696,43.57,30.49,202483,9412,3.85,"AT","  17.2","High income","National",1510,151020,15,15102010,327120,327121
"26",26,"AUSTRIA",2015,"AT0000606306",29,208,164,2185,372,"E",6988171,51492,114163238,1473291,620912,351.92,415279,NA,180612,NA,51.67,79.05,20,-2204877,76.73,NA,1005695,654219,NA,"AT","  15.5","High income","National",NA,NA,NA,NA,NA,NA
"27",27,"AUSTRIA",2012,"AT0000831706",119,NA,NA,NA,1834073,"E",2355549,12965,4100241,1803067,882060,75.49,120046,3839729,179515,NA,36.42,62.76,72.22,197010,42.97,29.49,174224,-19814,3.45,"AT","  16.5","High income","National",1510,151020,15,15102010,327120,327121
"28",28,"AUSTRIA",2015,"AT0000720008",66,27584,176186,94177,203770,"E",4026582,17673,8097803,2357367,3737567,217.45,757419,11316248,503490,-108390,66.05,73.74,46.67,1072370,68.48,68.46,1296311,498132,-11.57,"AT","  15.5","High income","National",5010,501010,50,50101020,517919,517919
"29",29,"AUSTRIA",2014,"AT0000831706",121,NA,NA,NA,1847000,"E",2834472,14836,3853187,1646275,753184,94.16,106619,3984619,203324,NA,37.6,70.62,38.41,218874,48.22,28.1,278892,63172,7.58,"AT","  14.4","High income","National",1510,151020,15,15102010,327120,327121
"30",30,"AUSTRIA",2013,"AT0000746409",97,2782000,985000,441000,3767000,"E",3181583,3256,12808628,9398608,798930,81.24,659997,16805108,1149313,NA,44.46,82.01,54.05,837418,41.98,44.71,1107445,761145,27.77,"AT","  15.9","High income","National",5510,551010,55,55101010,2211,2211
"31",31,"AUSTRIA",2013,"AT00000VIE62",16,NA,NA,NA,307500,"E",621994,4247,1953937,1629684,13733,71.69,133096,2705692,129416,NA,36.83,27.17,47.38,204354,41.74,74.66,238005,113705,-3.06,"AT","  15.9","High income","National",2030,203050,20,20305010,48811,48811
