"ISIN","year","env_controversies"
"BE0003739530","2008",1e+06
"DE0005773303","2008",1.1e+07
"DE0007037129","2008",2.115e+09
"DE0007037129","2008",1.05e+08
"DE000A0D9PT0","2008",50420168.06
"ES0116870314","2008",56578419.24
"ES0130670112","2008",1.22e+09
"ES0130960018","2008",55393600
"ES0171996087","2008",2074833
"ES0173516115","2008",4.08e+08
"FI0009003727","2008",8e+06
"FR0000039109","2008",20148000
"FR0000044448","2008",7500000
"FR0000121014","2008",12200000
"FR0000130403","2008",12400000
"FR0010208488","2008",4404339000
"GRS426003000","2008",20700000
"NL00150001Q9","2008",1.05e+08
"PLKGHM000017","2008",45120000
"PLPGNIG00014","2008",43853891
"PTEDP0AM0009","2008",163783000
"SE0003366871","2008",4.53e+08
"SE0011090018","2008",9.58e+08
"BE0003739530","2009",1e+06
"DE0005773303","2009",8100000
"DE0007037129","2009",2.229e+09
"DE0007037129","2009",1.1e+08
"DE000A0D9PT0","2009",71218487.39
"ES0116870314","2009",133800000
"ES0130670112","2009",7e+07
"ES0130960018","2009",35940170
"ES0171996087","2009",3742567
"ES0173516115","2009",3.92e+08
"FI0009003727","2009",5300000
"FR0000039109","2009",6347000
"FR0000044448","2009",7100000
"FR0000121014","2009",7900000
"FR0000130403","2009",8e+06
"FR0010208488","2009",2847780000
"GRS426003000","2009",3.2e+07
"NL00150001Q9","2009",5.4e+07
"PLKGHM000017","2009",47807000
"PLPGNIG00014","2009",40414477
"PTEDP0AM0009","2009",118898000
"SE0003366871","2009",467300000
"SE0011090018","2009",4.55e+08
"BE0003739530","2010",0
"DE0005773303","2010",6200000
"DE0007037129","2010",2.863e+09
"DE0007037129","2010",1.49e+08
"DE000A0D9PT0","2010",8e+07
"ES0116870314","2010",70980000
"ES0130670112","2010",1.265e+09
"ES0130960018","2010",39955330
"ES0171996087","2010",5555412
"ES0173516115","2010",2.75e+08
"FI0009003727","2010",8400000
"FR0000039109","2010",2345000
"FR0000044448","2010",10100000
"FR0000121014","2010",12900000
"FR0000130403","2010",13100000
"FR0010208488","2010",5690150000
"GRS426003000","2010",37600000
"NL00150001Q9","2010",8.3e+07
"PLKGHM000017","2010",78969000
"PLPGNIG00014","2010",131571000
"PTEDP0AM0009","2010",98477000
"SE0003366871","2010",4.17e+08
"SE0011090018","2010",3.95e+08
"BE0003739530","2011",0
"DE0005773303","2011",6600000
"DE0007037129","2011",2.875e+09
"DE0007037129","2011",1.46e+08
"DE000A0D9PT0","2011",261900000
"ES0116870314","2011",99200000
"ES0130670112","2011",1.408e+09
"ES0130960018","2011",24143610
"ES0171996087","2011",17385766
"ES0173516115","2011",7.69e+08
"FI0009003727","2011",7e+06
"FR0000039109","2011",4634000
"FR0000044448","2011",11006000
"FR0000121014","2011",15600000
"FR0000130403","2011",15800000
"FR0010208488","2011",1917600000
"GRS426003000","2011",40100000
"NL00150001Q9","2011",1.37e+08
"PLKGHM000017","2011",213675000
"PLPGNIG00014","2011",223528000
"PTEDP0AM0009","2011",77422000
"SE0003366871","2011",451500000
"SE0011090018","2011",6.17e+08
"BE0003739530","2012",6e+06
"DE0005773303","2012",5100000
"DE0007037129","2012",2.783e+09
"DE0007037129","2012",1.5e+08
"DE000A0D9PT0","2012",241400000
"ES0116870314","2012",1.05e+08
"ES0130670112","2012",2.12e+08
"ES0130960018","2012",23256477
"ES0171996087","2012",16475976
"ES0173516115","2012",2.37e+08
"FI0009003727","2012",7100000
"FR0000039109","2012",4229000
"FR0000044448","2012",6940000
"FR0000121014","2012",16100000
"FR0000130403","2012",5300000
"FR0010208488","2012",5875150000
"GRS426003000","2012",19700000
"NL00150001Q9","2012",1.03e+08
"PLKGHM000017","2012",206410000
"PLPGNIG00014","2012",208910000
"PTEDP0AM0009","2012",80514000
"SE0003366871","2012",345400000
"SE0011090018","2012",9.47e+08
"BE0003739530","2013",2e+06
"DE0005773303","2013",5100000
"DE0007037129","2013",2.64e+09
"DE0007037129","2013",1.51e+08
"DE000A0D9PT0","2013",193200000
"ES0116870314","2013",8e+07
"ES0130670112","2013",2.16e+08
"ES0130960018","2013",10210000
"ES0171996087","2013",16490712
"ES0173516115","2013",2e+08
"FI0009003727","2013",5700000
"FR0000039109","2013",4107000
"FR0000044448","2013",6600000
"FR0000121014","2013",17300000
"FR0000130403","2013",19900000
"FR0010208488","2013",1153060000
"GRS426003000","2013",22700000
"NL00150001Q9","2013",1e+08
"PLKGHM000017","2013",210600000
"PLPGNIG00014","2013",126829622.6
"PTEDP0AM0009","2013",99974000
"SE0003366871","2013",3.13e+08
"SE0011090018","2013",6.98e+08
"BE0003739530","2014",0
"DE0005773303","2014",4500000
"DE0007037129","2014",2.38e+09
"DE0007037129","2014",1.1e+08
"DE000A0D9PT0","2014",195300000
"ES0116870314","2014",9.8e+07
"ES0130670112","2014",2.31e+08
"ES0130960018","2014",10756000
"ES0171996087","2014",16464008
"ES0173516115","2014",2.34e+08
"FI0009003727","2014",6700000
"FR0000039109","2014",2086000
"FR0000044448","2014",9900000
"FR0000121014","2014",16600000
"FR0000130403","2014",17500000
"FR0010208488","2014",1008110000
"GRS426003000","2014",15500000
"NL00150001Q9","2014",9.4e+07
"PLKGHM000017","2014",600804413.3
"PLPGNIG00014","2014",233263000
"PTEDP0AM0009","2014",83670000
"SE0003366871","2014",3.64e+08
"SE0011090018","2014",5.95e+08
"BE0003739530","2015",7e+06
"DE0005773303","2015",2900000
"DE0007037129","2015",2003500000
"DE0007037129","2015",1.01e+08
"DE000A0D9PT0","2015",2.1e+08
"ES0116870314","2015",9.5e+07
"ES0130670112","2015",1.83e+08
"ES0130960018","2015",30908000
"ES0171996087","2015",17694300
"ES0173516115","2015",357800000
"FI0009003727","2015",5100000
"FR0000039109","2015",7421000
"FR0000044448","2015",7600000
"FR0000121014","2015",23300000
"FR0000130403","2015",16800000
"FR0010208488","2015",634722000
"GRS426003000","2015",14100000
"NL00150001Q9","2015",9.4e+07
"PLKGHM000017","2015",630424534.8
"PLPGNIG00014","2015",1300000
"PTEDP0AM0009","2015",104620000
"SE0003366871","2015",5.49e+08
"SE0011090018","2015",3.51e+08
"BE0003739530","2016",0
"DE0005773303","2016",3e+06
"DE0007037129","2016",1.944e+09
"DE0007037129","2016",1.65e+08
"DE000A0D9PT0","2016",208600000
"ES0116870314","2016",9.1e+07
"ES0130670112","2016",1.88e+08
"ES0130960018","2016",12937000
"ES0171996087","2016",17850000
"ES0173516115","2016",2.19e+08
"FI0009003727","2016",4700000
"FR0000039109","2016",7129000
"FR0000044448","2016",7400000
"FR0000121014","2016",23800000
"FR0000130403","2016",23600000
"FR0010208488","2016",644415000
"GRS426003000","2016",2.4e+07
"NL00150001Q9","2016",1e+08
"PLKGHM000017","2016",6.31e+08
"PLPGNIG00014","2016",139500000
"PTEDP0AM0009","2016",240871000
"SE0003366871","2016",8.42e+08
"SE0011090018","2016",3.3e+08
"BE0003739530","2017",0
"DE0005773303","2017",2600000
"DE0007037129","2017",1.647e+09
"DE0007037129","2017",1.82e+08
"DE000A0D9PT0","2017",199700000
"ES0116870314","2017",9.6e+07
"ES0130670112","2017",2.1e+08
"ES0130960018","2017",7710000
"ES0171996087","2017",22048843
"ES0173516115","2017",2.4e+08
"FI0009003727","2017",7800000
"FR0000039109","2017",3510000
"FR0000044448","2017",7500000
"FR0000121014","2017",3.5e+07
"FR0000130403","2017",3.5e+07
"FR0010208488","2017",396731000
"GRS426003000","2017",23600000
"NL00150001Q9","2017",1.17e+08
"PLKGHM000017","2017",3.83e+08
"PLPGNIG00014","2017",1003500000
"PTEDP0AM0009","2017",237465000
"SE0003366871","2017",1.413e+09
"SE0011090018","2017",2.75e+08
"BE0003739530","2018",1e+06
"DE0005773303","2018",2400000
"DE0007037129","2018",635500000
"DE0007037129","2018",1.8e+07
"DE000A0D9PT0","2018",201200000
"ES0116870314","2018",4.94e+08
"ES0130670112","2018",1.8e+08
"ES0130960018","2018",6334000
"ES0171996087","2018",18232700
"ES0173516115","2018",2.65e+08
"FI0009003727","2018",4600000
"FR0000039109","2018",6757000
"FR0000044448","2018",8400000
"FR0000121014","2018",38800000
"FR0000130403","2018",38800000
"FR0010208488","2018",406428000
"GRS426003000","2018",26100000
"NL00150001Q9","2018",7.7e+07
"PLKGHM000017","2018",1.57e+08
"PLPGNIG00014","2018",1328800000
"PTEDP0AM0009","2018",264482000
"SE0003366871","2018",1.693e+09
"SE0011090018","2018",3.62e+08
"BE0003739530","2019",4e+06
"DE0005773303","2019",2700000
"DE0007037129","2019",1302500000
"DE0007037129","2019",2.1e+07
"DE000A0D9PT0","2019",214300000
"ES0116870314","2019",5.46e+08
"ES0130670112","2019",2.92e+08
"ES0130960018","2019",12415000
"ES0171996087","2019",21750800
"ES0173516115","2019",1.56e+08
"FI0009003727","2019",4800000
"FR0000039109","2019",1116000
"FR0000044448","2019",12500000
"FR0000121014","2019",26600000
"FR0000130403","2019",26600000
"FR0010208488","2019",466365000
"GRS426003000","2019",31200000
"NL00150001Q9","2019",9.4e+07
"PLKGHM000017","2019",2.47e+08
"PLPGNIG00014","2019",1.628e+09
"PTEDP0AM0009","2019",354197000
"SE0003366871","2019",1.807e+09
"SE0011090018","2019",5.91e+08
"BE0003739530","2020",1e+06
"DE0005773303","2020",2400000
"DE0007037129","2020",1676100000
"DE0007037129","2020",2e+07
"DE000A0D9PT0","2020",1.86e+08
