"ISIN","year","roa"
"DK0010244508","2008",5.79
"SE0009268154","2008",NA
"SE0011337708","2008",2.91
"NL0000852564","2008",8.8
"DE0005408116","2008",0.98
"FR0010557264","2008",-49.19
"FR0004040608","2008",8.02
"ES0105200416","2008",4.47
"NL0011540547","2008",NA
"SE0006256558","2008",NA
"SE0007897079","2008",NA
"NL0009767532","2008",11.19
"ES0125220311","2008",3.96
"FR0000120404","2008",5.91
"IT0001207098","2008",4.98
"ES0132105018","2008",1.77
"BE0003764785","2008",4.7
"SE0001863291","2008",-40.41
"ES0167050915","2008",5.21
"SE0014401378","2008",NA
"SE0014781795","2008",15.99
"NO0010844038","2008",NA
"DE000A1EWWW0","2008",8.94
"LU1250154413","2008",NA
"DE0005008007","2008",-8.31
"FR0010340141","2008",4.85
"DE0005103006","2008",-3.46
"NL0012969182","2008",NA
"ES0105287009","2008",NA
"BE0003851681","2008",6.47
"GRS495003006","2008",8.26
"NL0000303709","2008",-0.19
"ES0105046009","2008",NA
"IT0001006128","2008",NA
"NO0003078107","2008",8.31
"SE0005999836","2008",10.69
"BE0974264930","2008",-5.56
"BE0003755692","2008",-4.13
"AT000AGRANA3","2008",4.56
"DE0005009740","2008",0.29
"IE00BF0L3536","2008",1.43
"FR0000031122","2008",3.49
"NL0000235190","2008",2.7
"DE000A0WMPJ6","2008",7.62
"NO0010215684","2008",4.88
"NO0010234552","2008",-1.37
"NO0010886625","2008",NA
"NO0010345853","2008",4.64
"NO0010716582","2008",NA
"FR0004180537","2008",6.87
"FI4000058870","2008",NA
"NO0003097503","2008",1.79
"FR0000053027","2008",-1.62
"NL0013267909","2008",-4.16
"FR0000060402","2008",9.03
"FR0013258662","2008",NA
"SE0000695876","2008",15.75
"NL0012817175","2008",NA
"SE0007158910","2008",NA
"PLALIOR00045","2008",NA
"DK0060027142","2008",3.72
"DE000A0DPRE6","2008",NA
"LU2237380790","2008",NA
"DE0008404005","2008",-0.09
"SE0000767188","2008",NA
"DK0015250344","2008",1.56
"SE0000540163","2008",3.27
"ES0157097017","2008",12.65
"GRS015003007","2008",1.79
"FR0010220475","2008",4.66
"DE000A0LD2U1","2008",0.23
"FR0000071946","2008",9.62
"PTALT0AE0002","2008",3.65
"DE0005093108","2008",20.42
"ES0109067019","2008",8.24
"SE0009663826","2008",NA
"DK0060946788","2008",8.05
"NL0000888691","2008",1.55
"IT0004056880","2008",0.23
"FR0004125920","2008",NA
"AT0000730007","2008",6.09
"BE0974293251","2008",3.75
"IT0004998065","2008",NA
"FI4000292438","2008",NA
"LU0569974404","2008",1.57
"ES0105022000","2008",NA
"IT0005241192","2008",NA
"NL0006237562","2008",7.49
"DE0006275001","2008",-2.87
"LU1598757687","2008",8.26
"NO0003572802","2008",-2.08
"NL0010832176","2008",NA
"IS0000028157","2008",NA
"SE0002095604","2008",-0.45
"SE0010468116","2008",NA
"FR0010313833","2008",2.59
"IT0001469383","2008",5.65
"LU1673108939","2008",NA
"US04351P1012","2008",NA
"IT0004093263","2008",3
"NL0000334118","2008",3.08
"NL0010273215","2008",9.64
"FI0009008072","2008",10.58
"NL0011872643","2008",NA
"SE0007100581","2008",7.29
"PLSOFTB00016","2008",8.04
"IT0000062072","2008",0.51
"FR0000074148","2008",5.87
"AT0000969985","2008",10.65
"NO0004822503","2008",7.59
"GRS359353000","2008",2.62
"IT0003506190","2008",6.56
"SE0011166610","2008",17.6
"FR0000051732","2008",0.78
"ES0109427734","2008",15.6
"FI0009006548","2008",2.44
"JE00B3DCF752","2008",-18.95
"SE0000191827","2008",-0.2
"SE0007666110","2008",NA
"FR0000063737","2008",5.72
"DE000A2DAM03","2008",NA
"DE000A0JK2A8","2008",8.94
"DE0006766504","2008",7.51
"NO0010073489","2008",2.29
"IT0001137345","2008",5.51
"DE000A2LQ884","2008",NA
"SE0012454072","2008",2.27
"FR0000120628","2008",0.21
"NO0010840515","2008",-20.29
"SE0006993770","2008",11.1
"SE0011973940","2008",NA
"IT0003261697","2008",3.76
"ES0112458312","2008",1.93
"IT0001233417","2008",4.01
"LU1789205884","2008",NA
"SE0005878741","2008",NA
"FO0000000179","2008",10.4
"SE0010323998","2008",NA
"NL0000337319","2008",2.87
"IT0005428195","2008",1.67
"IT0001031084","2008",0.19
"IT0003188064","2008",1.88
"IT0004776628","2008",0.95
"IT0005218752","2008",2
"IT0000784196","2008",0.33
"ROTLVAACNOR1","2008",3.24
"IT0005218380","2008",1.22
"PTBCP0AM0015","2008",1.47
"ES0113860A34","2008",2.4
"PTBES0AM0007","2008",2.3
"ES0113900J37","2008",2.05
"DK0010218429","2008",4.35
"PLBH00000012","2008",1.49
"PLBIG0000016","2008",1.3
"NO0011002511","2008",NA
"IE00BD5B1Y92","2008",NA
"GRS004013009","2008",0.3
"IE00BD1RP616","2008",2.47
"PLPEKAO00016","2008",2.86
"ES0113679I37","2008",1.75
"BE0974362940","2008",3.64
"DE000BASF111","2008",6.65
"NL0011872650","2008",NA
"DE0005102008","2008",5.87
"FI0009008403","2008",9.34
"DK0015998017","2008",-8.83
"AT0000BAWAG2","2008",NA
"DE000BAY0017","2008",4.95
"DE0005194062","2008",3
"ES0113211835","2008",1.68
"NL0012866412","2008",-10.89
"DE0005158703","2008",9.78
"LU1704650164","2008",NA
"BE0003678894","2008",5.07
"DE0005200000","2008",13.82
"SE0011090547","2008",16.23
"SE0015949748","2008",13.48
"BE0974258874","2008",8.58
"FR0000035164","2008",14.34
"SE0000101362","2008",9.69
"SE0000101297","2008",1.62
"DE0005232805","2008",18.25
"DE000A0DNAY5","2008",2.97
"SE0015672282","2008",26.9
"NO0010890965","2008",NA
"IT0005244402","2008",NA
"SE0010948588","2008",NA
"FR0000120966","2008",9.76
"SE0013647385","2008",NA
"IT0003097257","2008",6.05
"DE0005909006","2008",3.43
"SE0009921588","2008",-0.16
"SE0000862997","2008",3.55
"SE0011644376","2008",NA
"SE0010323311","2008",NA
"BE0974281132","2008",NA
"SE0000470395","2008",29.61
"FR0013280286","2008",12.46
"SE0000454746","2008",26.98
"DE0005227201","2008",6.39
"FI0009007264","2008",-23.24
"DE0005190003","2008",0.5
"FR0000131104","2008",0.61
"PLLWBGD00016","2008",NA
"FR0000061129","2008",9.2
"SE0015811559","2008",4.19
"FR0000039299","2008",1.43
"SE0008091581","2008",NA
"FR0000063935","2008",5.29
"SE0009858152","2008",NA
"SE0000396061","2008",2.34
"NO0003110603","2008",4.07
"SE0009888738","2008",NA
"NO0010657505","2008",NA
"DE0005493092","2008",2.82
"PLBRSZW00011","2008",-2.03
"NL0000852580","2008",10.84
"DE000A1PHFF7","2008",12.56
"SE0011231158","2008",-2.59
"FR0000120503","2008",5.25
"IT0000066123","2008",0.68
"BE0974268972","2008",9.06
"LU0011857645","2008",18.67
"SE0007491303","2008",NA
"ROBRDBACNOR2","2008",4.26
"DE000A1DAHH0","2008",4.7
"IS0000000297","2008",NA
"DK0060803831","2008",1.72
"DK0010256197","2008",2.79
"NL0010776944","2008",21.09
"IT0004764699","2008",NA
"PLBUDMX00013","2008",4.68
"SE0005677135","2008",NA
"SE0003849223","2008",-4.58
"SE0000195810","2008",27.18
"FR0006174348","2008",12.66
"IT0001347308","2008",8.54
"BMG173841013","2008",NA
"BMG1738J1247","2008",-16.56
"NO0003087603","2008",-0.24
"NO0010633951","2008",NA
"AT0000641352","2008",-3.23
"IE00BWY4ZF18","2008",NA
"IT0004329733","2008",6.98
"ES0140609019","2008",NA
"SE0007692850","2008",NA
"DE0005419105","2008",3.53
"FR0000125338","2008",6.21
"IT0005331019","2008",NA
"FI0009013429","2008",5.6
"DE0005313704","2008",8.62
"DK0010181759","2008",5.2
"FR0010828137","2008",-3.41
"FR0000120172","2008",3.18
"FR0000125585","2008",3.53
"SE0000379190","2008",-0.12
"SE0000188518","2008",1.7
"SE0001664707","2008",-2.86
"MT0001000109","2008",NA
"IT0000784154","2008",0.22
"FI4000062781","2008",NA
"CH0136071542","2008",8.78
"PLCCC0000016","2008",27.18
"PLOPTTC00011","2008",6.29
"DE0007257503","2008",2.44
"SE0000683484","2008",40.04
"FR0010425595","2008",-0.74
"ES0105066007","2008",NA
"NL0013995087","2008",4.66
"DE000A1TNMM9","2008",7.36
"IT0005010423","2008",NA
"DE0005403901","2008",3.31
"CZ0005112300","2008",11.99
"FR0013181864","2008",7.99
"FR0000130692","2008",-6.68
"DK0060055861","2008",27.01
"FR0000130403","2008",2.97
"DK0060227585","2008",5.48
"SE0010832204","2008",NA
"ES0105630315","2008",7.29
"PLCIECH00018","2008",2.71
"FI4000369947","2008",-3.15
"SE0000584948","2008",20.48
"SE0009973548","2008",NA
"SE0002626861","2008",-0.04
"FR0000121261","2008",3.43
"NL0010545661","2008",NA
"FR0000120222","2008",0.31
"FR0010667147","2008",NA
"BE0003593044","2008",2.4
"SE0007048020","2008",NA
"DK0060448595","2008",10.99
"BE0974256852","2008",14.03
"DE000CBK1001","2008",1.31
"BE0003883031","2008",5.71
"FR0000053324","2008",4.14
"IT0000070786","2008",2.3
"DE000A288904","2008",0.85
"SE0003950864","2008",NA
"ES0121975009","2008",7.65
"DE000A2DA414","2008",NA
"DE0005439004","2008",-1.69
"SE0007158829","2008",NA
"NL0010583399","2008",5.96
"LU1296758029","2008",NA
"ES0117160111","2008",11.82
"PTCOR0AE0006","2008",2.39
"DE0006062144","2008",NA
"FR0000064578","2008",-0.25
"LU0251710041","2008",-8.06
"NO0010808892","2008",NA
"FR0000045072","2008",0.67
"IT0003121677","2008",1.38
"IE0001827041","2008",7.77
"US2267181046","2008",NA
"DE000A0LAUP1","2008",5.53
"DE0005470306","2008",8.31
"PTCTT0AM0001","2008",NA
"SE0000418923","2008",-26.86
"PLCFRPT00013","2008",41.52
"BE0974259880","2008",3.29
"DE0007100000","2008",1.34
"IE00BJMZDW83","2008",NA
"IT0000076502","2008",4.46
"FR0000120644","2008",6.29
"DK0010274414","2008",0.57
"FR0014004L86","2008",3.95
"FR0014003TT8","2008",10.49
"DE000A0JC8S7","2008",7.14
"IT0004053440","2008",5.54
"NL0015435975","2008",8.32
"FR0010417345","2008",NA
"CH0246292343","2008",NA
"IT0003115950","2008",4.09
"IT0001431805","2008",-4.49
"DE000A2E4K43","2008",NA
"DK0060738599","2008",21.04
"FR0000053381","2008",6.15
"DE000A2GS5D8","2008",NA
"DE0005140008","2008",0.19
"DE000A1TNUT7","2008",-15.33
"DE0005810055","2008",1.09
"DE0007480204","2008",5.37
"DE0008232125","2008",3.49
"DE0005552004","2008",-0.53
"DE0005557508","2008",2.75
"DE000A0HN5C6","2008",-4.58
"DE0006305006","2008",2.19
"FR0000073793","2008",6.42
"DK0060655629","2008",5.15
"IT0003492391","2008",16.86
"DE000A1X3XX4","2008",4.37
"IT0005254252","2008",NA
"PLDINPL00011","2008",NA
"SE0001634262","2008",-0.26
"ES0126775032","2008",NA
"DE0005878003","2008",8.06
"DK0060083210","2008",37.78
"NO0010161896","2008",1.61
"NO0003921009","2008",-14.79
"AT0000818802","2008",4.36
"SE0007691613","2008",NA
"IT0001044996","2008",NA
"DE0005550636","2008",3.18
"DK0061135753","2008",NA
"NL0000009827","2008",6.85
"DK0060079531","2008",7.73
"DE0008019001","2008",NA
"DE0005565204","2008",5.92
"SE0000616716","2008",7.58
"ES0162600003","2008",6.26
"SE0006625471","2008",NA
"DE000DWS1007","2008",NA
"DE000ENAG999","2008",1.83
"DK0061277894","2008",17.24
"ES0112501012","2008",5.42
"DE0005659700","2008",6.12
"BE0974313455","2008",5.78
"CH0303692047","2008",NA
"FR0010908533","2008",5.87
"FR0010242511","2008",2.37
"IT0003372205","2008",2.84
"PTEDP0AM0009","2008",4.94
"ES0127797019","2008",1.74
"LU1048328220","2008",NA
"FI4000322326","2008",NA
"FR0000130452","2008",2.72
"IS0000019800","2008",NA
"IT0005453250","2008",3.94
"SE0000119299","2008",1.15
"SE0013747870","2008",NA
"SE0000163628","2008",7.9
"BE0003822393","2008",4.87
"FR0011950732","2008",NA
"FR0012435121","2008",NA
"FI0009007884","2008",10.23
"NO0010816093","2008",NA
"GRS191213008","2008",4.5
"DE0005677108","2008",5.32
"SE0000120776","2008",5.3
"DE0007856023","2008",7.09
"SE0006509949","2008",NA
"SE0016828511","2008",NA
"ES0130960018","2008",7.29
"IT0005176406","2008",NA
"DE0005220008","2008",3.5
"DE0006095003","2008",10.29
"ES0130625512","2008",4.53
"ES0130670112","2008",14.43
"SE0009697220","2008",13.07
"PLENEA000013","2008",2.09
"IT0003128367","2008",6.49
"FI4000123195","2008",NA
"PLENERG00022","2008",NA
"FR0010208488","2008",6.06
"IT0003132476","2008",8.74
"SE0011256312","2008",2.17
"NO0010716418","2008",NA
"SE0015658109","2008",NA
"SE0003491562","2008",NA
"SE0012853455","2008",NA
"NO0010096985","2008",8.28
"FR0000131757","2008",13
"ES0125140A14","2008",-24.3
"IT0001157020","2008",14.11
"SE0000108656","2008",5.01
"AT0000652011","2008",1.01
"FR0000121667","2008",10.74
"SE0009922156","2008",NA
"FR0000120669","2008",-1.13
"FI0009008650","2008",11.64
"FR0000121121","2008",2.96
"GRS323003012","2008",1.49
"PLEURCH00011","2008",8.55
"NL0015000K93","2008",6.29
"FR0014000MR3","2008",4.3
"BE0003816338","2008",17.93
"NL0006294274","2008",NA
"FR0012789949","2008",NA
"NO0010735343","2008",NA
"FR0010221234","2008",5.28
"AT0000741053","2008",4.18
"SE0012673267","2008",NA
"DE000EVNK013","2008",2.54
"DE0005664809","2008",-39.64
"SE0002402701","2008",6.59
"FI0009007306","2008",-1.9
"BE0003808251","2008",-0.4
"NL0012059018","2008",4.73
"FI0009801310","2008",18.82
"SE0011166974","2008",1.06
"AT00000FACC2","2008",NA
"ES0134950F36","2008",10.44
"SE0010048884","2008",11.99
"BE0003874915","2008",5.56
"IT0003198790","2008",4.45
"PLFAMUR00012","2008",6.48
"SE0015195771","2008",NA
"SE0000455057","2008",-1.53
"FR0000121147","2008",-8.04
"CH0242214887","2008",18.1
"NL0011585146","2008",NA
"SE0005468717","2008",NA
