Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A P MOLLER MAERSK B - CO2 Equivalents Emission Direct,DK0010244508(ENERDP024),NA,46889000,44001421,37020000,40284000,37948000,33494000,32406000,33044000,35917000,35579000,38749000,36204000,33902000
A P MOLLER MAERSK B - CO2 Equivalents Emission Indirect,DK0010244508(ENERDP025),NA,723000,886897,653000,685000,683000,382000,402000,415000,252000,402000,338000,287000,305000
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AAK - CO2 Equivalents Emission Direct,SE0011337708(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256124,250119
AAK - CO2 Equivalents Emission Indirect,SE0011337708(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107614,87563
AALBERTS - CO2 Equivalents Emission Direct,NL0000852564(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98890,89900,88970,89100
AALBERTS - CO2 Equivalents Emission Indirect,NL0000852564(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242110,220100,198030,180900
AAREAL BANK - CO2 Equivalents Emission Direct,DE0005408116(ENERDP024),NA,NA,NA,NA,NA,2045,2090,3994,4257,3962,3386,3760,3159,1810
AAREAL BANK - CO2 Equivalents Emission Indirect,DE0005408116(ENERDP025),NA,NA,NA,NA,NA,4272,3852,1346,6243,5950,5782,5593,4942,3906
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
