Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
A P MOLLER MAERSK B - CO2 Equivalents Emission Total,DK0010244508(ENERDP023),NA,47612000,44888318,37673000,40969000,38631000,33876000,32808000,33459000,36169000,35981000,39087000,36491000,34207000
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AAK - CO2 Equivalents Emission Total,SE0011337708(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363738,337682
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AALBERTS - CO2 Equivalents Emission Total,NL0000852564(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341000,310000,287000,270000
AAREAL BANK - CO2e Indirect Emissions Scope 3,DE0005408116(ENERDP096),NA,NA,NA,NA,NA,838,1044,1934,1865,1942,1885,2900,1652,518
AAREAL BANK - CO2 Equivalents Emission Total,DE0005408116(ENERDP023),NA,NA,NA,NA,NA,6317,5942,5340,10500,9912,9168,9353,8101,5716
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ABENGOA - CO2e Indirect Emissions Scope 3,ES0105200416(ENERDP096),NA,197461,113243,4740600,5828989,4150560,4149935,3437861,4075810,2306640,589825,773486,313272,NA
ABENGOA - CO2 Equivalents Emission Total,ES0105200416(ENERDP023),NA,3362475,1745314,3025730,3597229,6105390,6983677,4366451,2773620,1463040,967615,1052204,1361440,NA
ABN AMRO BANK - CO2e Indirect Emissions Scope 3,NL0011540547(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,23720,22370,20240,11790,10400,1500
ABN AMRO BANK - CO2 Equivalents Emission Total,NL0011540547(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,53550,47830,43580,14310,21460,9380
