"ISIN","year","scope_total","NPPE","Debt_TotCap","GMAR","gsector","INTAN_TA","Capex_NPPE","Rev_Emp","FuelInten","Age","CapInt"
"AU000000IGO4",2018,85165,1563598,7.34,27.44,"15",0,0.116812633426239,3188.30327868852,74.2,6.4936957875407,2.1046126594905
"AU000000IGO4",2017,90225,1717857,10.21,35.61,"15",0,0.157273277112123,937.613333333333,71.9,20.8872600893364,4.44417267482924
"AT0000831706",2013,1835695,1663283,47.91,26.97,"15",0.202389496358345,0.0733218580361851,223.90843353233,15.9,19.0292330307485,1.41461758663253
"AT0000831706",2015,2064000,1614874,44.19,29.98,"15",0.190960075139866,0.0789281392851702,187.96920255486,15.5,20.3671961195543,1.37875934822096
"AT0000746409",2014,2256000,9436551,41.25,36.81,"55",0.0650260269695449,0.0593536769949105,870.73374422188,14.4,40.8983065626002,6.14219097224557
"AT0000746409",2015,2147000,9201878,36.41,36.41,"55",0.0684119254342836,0.0500319608671186,958.570045190445,15.5,36.4948754881848,5.9126085565639
"AT0000743059",2015,12600000,16440000,38.67,10.3,"10",0.102942100961841,0.233211678832117,933.80036478196,15.5,6.89687924016282,1.5794823988991
"AT0000937503",2014,12258180,4771962,52.74,20.44,"15",0.146783438865077,0.181461000737223,233.366345894041,14.4,22.4999361344538,1.19233306510402
"AT0000937503",2017,12752740,6371900,47.57,21.66,"15",0.135844292042115,0.169023368226118,227.239804438364,17.5,22.9584842574533,1.45908185399973
"AT000000STR1",2012,1293350,2225572,34.29,30.88,"20",0.0533558509435344,0.214394321999019,175.425388461019,16.5,14.3891893710623,0.395270577058888
"AT0000720008",2012,218296,2426436,82.28,48.81,"50",0.396622259933829,0.304553262480445,263.267846284811,16.5,17.7008170730022,2.6623650629154
"AT0000743059",2009,12547300,11370405,28.44,17.14,"10",0.0382524573379611,0.284069300961575,516.705127465682,16.5,20.159215215708,1.09705023651208
"AT0000831706",2011,2061469,1836198,43.57,30.49,"15",0.166645142903493,0.0527541147523306,158.659819678557,17.2,20.4130021392917,1.86717339376372
"AT0000831706",2012,1834073,1803067,42.97,29.49,"15",0.215123940275706,0.0665787793798012,181.685229463941,16.5,21.3894604907668,1.63007816861377
"AT0000720008",2015,203770,2357367,68.48,68.46,"50",0.461553213877888,0.321298720139885,227.83805805466,15.5,22.4756161989315,2.81038558261076
"AT0000831706",2014,1847000,1646275,48.22,28.1,"15",0.195470398919129,0.0647637849083537,191.053653275816,14.4,19.5973864374102,1.40577116302437
"AT0000746409",2013,3767000,9398608,41.98,44.71,"55",0.0623743620315931,0.0702228457660964,977.144656019656,15.9,14.6218723707119,5.28199578637427
"AT0000837307",2020,21734,284561,45.83,35.24,"20",0.245235136601502,0.198765818225266,187.332174201027,16.4,16.051630937455,0.690321479997772
"AT0000720008",2013,222722,2308127,82.9,67.17,"50",0.539252078915689,0.315503869587765,260.763415394204,15.9,12.9950775266422,2.6854108403329
"AT000000STR1",2014,1139826,2015061,33.86,31.25,"20",0.0535863574320319,0.192232890220197,171.119976407977,14.4,11.2932939345709,0.40835977345671
"AT0000743059",2014,13400000,18500000,31.18,10.16,"10",0.105370049578878,0.257024324324324,1408.29771381514,14.4,10.958469587966,0.933116141787097
"AT0000741053",2020,3030510,3703400,21.35,28.6,"55",0.0261631062808342,0.105713668520819,300.770657913515,16.4,29.7869524109675,4.48465005931198
"AT0000720008",2014,170842,2246115,72.19,67.37,"50",0.461553750769443,0.792072088917976,247.41157635468,14.4,9.31060852370019,2.77959608398682
"AT000000STR1",2020,908784,2568397,21.96,33.43,"20",0.0832296084459076,0.252079409842014,198.409254775356,16.4,11.63022363396,0.429450504361296
